Munic�pio1,C�digo Munic�pio IBGE,Popula��o estimada (2020),UF1,Data,M�dia de �ndice De Isolamento
PIRACICABA,3538709,407252,SP,"sexta-feira, 25/12",41%
PIRACICABA,3538709,407252,SP,"quinta-feira, 24/12",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 23/12",35%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 22/12",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 21/12",36%
PIRACICABA,3538709,407252,SP,"domingo, 20/12",40%
PIRACICABA,3538709,407252,SP,"s�bado, 19/12",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 18/12",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 17/12",36%
PIRACICABA,3538709,407252,SP,"quarta-feira, 16/12",36%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 15/12",37%
PIRACICABA,3538709,407252,SP,"segunda-feira, 14/12",35%
PIRACICABA,3538709,407252,SP,"domingo, 13/12",40%
PIRACICABA,3538709,407252,SP,"s�bado, 12/12",35%
PIRACICABA,3538709,407252,SP,"sexta-feira, 11/12",35%
PIRACICABA,3538709,407252,SP,"quinta-feira, 10/12",35%
PIRACICABA,3538709,407252,SP,"quarta-feira, 09/12",34%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 08/12",38%
PIRACICABA,3538709,407252,SP,"segunda-feira, 07/12",35%
PIRACICABA,3538709,407252,SP,"domingo, 06/12",40%
PIRACICABA,3538709,407252,SP,"s�bado, 05/12",35%
PIRACICABA,3538709,407252,SP,"sexta-feira, 04/12",34%
PIRACICABA,3538709,407252,SP,"quinta-feira, 03/12",34%
PIRACICABA,3538709,407252,SP,"quarta-feira, 02/12",35%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 01/12",35%
PIRACICABA,3538709,407252,SP,"segunda-feira, 30/11",34%
PIRACICABA,3538709,407252,SP,"domingo, 29/11",39%
PIRACICABA,3538709,407252,SP,"s�bado, 28/11",36%
PIRACICABA,3538709,407252,SP,"sexta-feira, 27/11",36%
PIRACICABA,3538709,407252,SP,"quinta-feira, 26/11",33%
PIRACICABA,3538709,407252,SP,"quarta-feira, 25/11",34%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 24/11",34%
PIRACICABA,3538709,407252,SP,"segunda-feira, 23/11",34%
PIRACICABA,3538709,407252,SP,"domingo, 22/11",40%
PIRACICABA,3538709,407252,SP,"s�bado, 21/11",37%
