,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Preservação e Conservação Ambiental,32.57206517860943,32.90930830384093,14.466577341705168,14.466577341705168,1.82,16406025.43,4.259134866401352,4.259134866401352,1.88,25486218.66,1,2018,2018-02-20,88.95659468048812
abril 2018,Preservação e Conservação Ambiental,32.47133973218698,32.80753997100169,13.628564758969523,28.0504058380841,2.77,4244911.44,4.828467172041254,9.074431143123588,1.82,21177654.94,2,2018,2018-04-20,89.2325362580551
junho 2018,Preservação e Conservação Ambiental,31.939533719936538,32.18594488016966,0.2526612557430882,27.84366583124327,2.35,3939241.46,5.274051865315385,14.199864655162893,1.83,16316665.08,3,2018,2018-06-20,90.71829367976625
agosto 2018,Preservação e Conservação Ambiental,31.863156777246775,31.889043186583667,0.7509027020530403,28.527986031243742,2.1,3056402.47,4.86431875244702,19.030227299844544,1.82,11693260.43,4,2018,2018-08-20,90.93574815126546
outubro 2018,Preservação e Conservação Ambiental,31.568884265675848,31.594531600813514,1.588713345259714,29.85322886860107,1.96,1598227.11,4.988635505573711,23.843108945797862,1.82,7114520.41,5,2018,2018-10-20,91.78341482123231
dezembro 2018,Preservação e Conservação Ambiental,31.587936529593662,31.090313423181293,-0.23048454313272812,29.640761167318594,1.72,1329646.1,5.131626061851254,28.98912465792733,1.75,1927379.6,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,Preservação e Conservação Ambiental,32.61294919166003,32.61294919166003,10.927304267366083,10.927304267366083,1.38,20041282.81,4.33112248682605,4.33112248682605,1.85,26137294.48,1,2019,2019-02-20,92.4172782500381
abril 2019,Preservação e Conservação Ambiental,32.186708655610936,34.20325080496737,17.30660641384067,28.091094402889777,2.74,5723492.76,6.0749192848693365,10.349435423105756,2.03,22336983.98,2,2019,2019-04-20,93.64113716158379
junho 2019,Preservação e Conservação Ambiental,32.14170608866502,34.28339839722657,1.3850825937995221,29.436900804458013,2.4,4544669.69,4.233329348599396,14.568294476979954,1.77,18487295.93,3,2019,2019-06-20,93.77224692695782
agosto 2019,Preservação e Conservação Ambiental,32.04550260574734,34.14250862369191,0.3242279427522868,29.673021028974087,2.12,4203721.12,5.01650801357729,19.54119806380436,1.77,13733081.54,4,2019,2019-08-20,94.05375965173477
outubro 2019,Preservação e Conservação Ambiental,32.026299636485305,34.100159800467516,0.35662874271777684,30.011868489939435,1.89,3847497.26,5.086549965109345,24.61603814779937,1.76,8925521.52,5,2019,2019-10-20,94.11015428602192
dezembro 2019,Preservação e Conservação Ambiental,31.501526728253683,31.921813889531958,0.20784822304377432,29.727951642160345,1.65,2099041.38,4.842606875154708,29.055294336968338,1.67,2742625.78,6,2019,2019-12-20,95.67790240771876
fevereiro 2020,Preservação e Conservação Ambiental,29.38247394842303,29.902665045874045,15.608064981835557,15.608064981835557,1.88,13739758.46,4.431592001258886,4.431592001258886,1.78,24482419.22,1,2020,2020-02-20,96.11852306778191
abril 2020,Preservação e Conservação Ambiental,29.453225603370683,29.82345062600352,12.443601166925125,28.089249656192145,2.63,1662884.21,6.271526168485869,10.713789240829248,2.01,18323801.41,2,2020,2020-04-20,95.88763003522416
junho 2020,Preservação e Conservação Ambiental,29.488903638104343,29.747330932574666,0.20663188650915543,28.329907331196313,2.24,1357489.51,4.271526843115704,14.998294185216809,1.8,14125391.06,3,2020,2020-06-20,95.77161750939717
agosto 2020,Preservação e Conservação Ambiental,29.312773733339252,29.99989108712538,0.05361316902552913,28.21431299283252,1.99,1720352.26,5.255344250723255,20.16405734608674,1.85,9476538.08,4,2020,2020-08-20,96.34707468122883
outubro 2020,Preservação e Conservação Ambiental,28.878014076299994,33.44734640426169,4.119179989688774,31.91502541776775,2.04,1498572.9,5.687415677400466,25.55240481738517,1.9,7721062.11,5,2020,2020-10-20,97.79758374443772
fevereiro 2018,Controle Ambiental,99.92513800609463,99.58789488086313,84.75927332966819,84.75927332966819,10.66,13191036.77,16.95441632424372,16.95441632424372,7.47,73507928.59,1,2018,2018-02-20,88.95659468048812
