,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Proteção e Benefícios ao Trabalhador,9.18467599771116,9.18467599771116,7.938648862925703,7.938648862925703,1.0,1105659.16,1.1482676522958766,1.1482676522958766,0.5,7131087.48,1,2018,2018-02-20,88.73475778602311
abril 2018,Proteção e Benefícios ao Trabalhador,9.156273420685661,9.156273420685661,0.11276474254189613,8.026864227148339,0.79,1005287.25,1.242606348113193,2.387323111902131,0.48,6025043.43,2,2018,2018-04-20,89.01001122998021
junho 2018,Proteção e Benefícios ao Trabalhador,9.006314678758459,9.006314678758459,0.029062835984403537,7.924465451424614,0.67,978987.69,1.1938378659579634,3.5420621049905066,0.45,4944714.91,3,2018,2018-06-20,90.4920635209639
agosto 2018,Proteção e Benefícios ao Trabalhador,8.98477789659698,8.98477789659698,-0.010770268237864276,7.894745424904817,0.58,988757.29,1.1795720452156113,4.713164024224674,0.45,3874737.19,4,2018,2018-08-20,90.70897571198554
outubro 2018,Proteção e Benefícios ao Trabalhador,8.901798888081835,8.901798888081835,0.08355277587390418,7.905386198347787,0.52,912260.94,1.1842072126450944,5.8538427621316735,0.45,2790541.86,5,2018,2018-10-20,91.5545284999824
dezembro 2018,Proteção e Benefícios ao Trabalhador,8.907171248420319,8.3545136005694,-0.8175504070684313,7.092606802600366,0.41,1154635.98,1.2296052201272707,7.086980858375153,0.43,1159783.68,6,2018,2018-12-20,91.49930738611765
fevereiro 2019,Proteção e Benefícios ao Trabalhador,9.131458056109242,9.131458056109242,6.687915926665424,6.687915926665424,0.84,2252623.57,0.9541635168201203,0.9541635168201203,0.41,7538387.08,1,2019,2019-02-20,92.18681122198316
abril 2019,Proteção e Benefícios ao Trabalhador,9.012112898028871,8.645752876329196,0.0,6.600507061773129,0.64,1910415.4,0.9910789812105517,1.9327718942070873,0.38,6270435.64,2,2019,2019-04-20,93.40761811629307
junho 2019,Proteção e Benefícios ao Trabalhador,8.999512410717255,8.489338872060724,0.024548741236765856,6.615827156362525,0.54,1752452.9,0.9742206099226691,2.9042901558564083,0.35,5224165.26,3,2019,2019-06-20,93.53840092464623
agosto 2019,Proteção e Benefícios ao Trabalhador,8.972575930242831,8.463929394265493,0.0015988196597011462,6.597624114445003,0.47,1750952.9,0.9933227255714151,3.8889200376930764,0.35,4292237.71,4,2019,2019-08-20,93.8192116226781
outubro 2019,Proteção e Benefícios ao Trabalhador,8.96719919760395,7.02633212660894,0.013373813825390147,6.607044363408867,0.42,393608.34,0.987735873112968,4.874325511658773,0.35,2020206.23,5,2019,2019-10-20,93.87546562196702
dezembro 2019,Proteção e Benefícios ao Trabalhador,8.820265482031703,6.771321373029323,-0.6662029188921446,5.832580486343099,0.32,895927.77,1.0232456834474015,5.817702024972428,0.33,910127.67,6,2019,2019-12-20,95.43930414735041
fevereiro 2020,Proteção e Benefícios ao Trabalhador,7.535553261562558,7.535553261562558,6.681223130344334,6.681223130344334,0.8,819121.7,0.9705043947587225,0.9705043947587225,0.39,6294491.78,1,2020,2020-02-20,95.87882600277499
abril 2020,Proteção e Benefícios ao Trabalhador,7.55369852955931,7.55369852955931,0.0314288224549188,6.728740032869576,0.63,789060.5,1.013913747886831,1.9867550728912393,0.37,5324698.4,2,2020,2020-04-20,95.64850876331589
junho 2020,Proteção e Benefícios ao Trabalhador,7.562848668906846,7.076104775337063,0.03158664308560075,6.7684775054717585,0.53,293884.9,1.0060722342717638,2.9952339541446427,0.36,3898569.57,3,2020,2020-06-20,95.53278554553334
agosto 2020,Proteção e Benefícios ao Trabalhador,7.517677650270326,6.91423444566489,-0.1387689418099671,6.589282126888368,0.46,312301.3,1.0295972408939857,4.006941405795634,0.37,2794106.53,4,2020,2020-08-20,96.10680766207365
outubro 2020,Proteção e Benefícios ao Trabalhador,7.406177353959374,6.791182737556893,0.00131004770357925,6.492861606216475,0.41,291023.3,0.9889442686307758,4.936455731453161,0.37,1809354.81,5,2020,2020-10-20,97.55369949569847
dezembro 2020,Proteção e Benefícios ao Trabalhador,7.2430625,6.641612625,-0.528227184775,5.821634581975,0.34,817933.21,0.9723183339999999,5.8000527619749995,0.35,839461.21,6,2020,2020-12-20,99.75062344139651
fevereiro 2018,Relações de Trabalho,1.3512179780681817,1.3522322367673156,0.0,0.0,0.0,1199900.0,0.0,0.0,0.0,1199900.0,1,2018,2018-02-20,88.73475778602311
abril 2018,Relações de Trabalho,1.347039488515596,1.6370068713228316,0.0,0.0,0.0,1457100.0,0.0,0.0,0.0,1457100.0,2,2018,2018-04-20,89.01001122998021
junho 2018,Relações de Trabalho,1.3249780735989438,1.6101964562477238,0.0,0.0,0.0,1457100.0,0.0,0.0,0.0,1457100.0,3,2018,2018-06-20,90.4920635209639
agosto 2018,Relações de Trabalho,1.3218096561987458,1.6063459967032465,0.042652228951239164,0.042652228951239164,0.0,1418410.6,0.0005787740362838546,0.0005787740362838546,0.0,1456575.0,4,2018,2018-08-20,90.70897571198554
outubro 2018,Relações de Trabalho,1.309602069547254,1.5915105717575513,0.008028002678208771,0.0502863165310374,0.0,1411060.6,0.006935757415867443,0.00750918617859664,0.0,1450225.0,5,2018,2018-10-20,91.5545284999824
dezembro 2018,Relações de Trabalho,1.3103924327430627,0.6394583923252427,-0.0041122934232952265,0.04620437160425353,0.0,542823.32,0.038690653526598354,0.04620437160425353,0.0,542823.32,6,2018,2018-12-20,91.49930738611765
fevereiro 2019,Relações de Trabalho,1.3017046409279034,1.3017046409279034,0.13904379411860357,0.13904379411860357,0.02,1071819.96,0.026351795531253868,0.026351795531253868,0.01,1175707.12,1,2019,2019-02-20,92.18681122198316
abril 2019,Relações de Trabalho,1.2846917887425333,1.2846917887425333,0.011048349383185788,0.14827488677376036,0.01,1061499.96,0.026766542712685776,0.05277392893010887,0.01,1150705.13,2,2019,2019-04-20,93.40761811629307
junho 2019,Relações de Trabalho,1.2828955681706706,1.2764810903298172,0.3197936751569835,0.46786124807986734,0.04,756370.07,0.033068119290298834,0.08576826117075662,0.01,1113773.74,3,2019,2019-06-20,93.53840092464623
agosto 2019,Relações de Trabalho,1.279055727760917,1.2726604491221123,-0.005695453956157929,0.460765436548933,0.03,761713.5,0.05646336084452364,0.14197490865272075,0.01,1060800.26,4,2019,2019-08-20,93.8192116226781
outubro 2019,Relações de Trabalho,1.278289265517313,1.2718978191897266,0.087258390099353,0.5477477172477279,0.03,679799.28,0.14032207364005386,0.2822119051498014,0.02,929072.26,5,2019,2019-10-20,93.87546562196702
dezembro 2019,Relações de Trabalho,1.2573436182511337,1.251056900159878,-0.013322257652224286,0.5254502371745574,0.03,692513.95,0.24121861748338333,0.5188062868056297,0.03,698854.89,6,2019,2019-12-20,95.43930414735041
fevereiro 2020,Relações de Trabalho,1.1863933335678074,1.1863933335678074,0.177567464160515,0.177567464160515,0.02,967250.4,0.008239566888075322,0.008239566888075322,0.0,1129600.0,1,2020,2020-02-20,95.87882600277499
abril 2020,Relações de Trabalho,1.189250114515393,1.189250114515393,0.0007360282027418345,0.17873106670489555,0.02,966546.4,0.14731185234540745,0.15557125973412975,0.03,988698.41,2,2020,2020-04-20,95.64850876331589
junho 2020,Relações de Trabalho,1.190690707388448,1.190690707388448,0.0,0.17894757179305654,0.01,966546.4,0.005773934014905212,0.1615336443073235,0.02,983182.41,3,2020,2020-06-20,95.53278554553334
agosto 2020,Relações de Trabalho,1.1835790072224908,1.1835790072224908,0.0,0.17787876234647101,0.01,966546.4,0.007924516676049662,0.168493360604988,0.02,975566.41,4,2020,2020-08-20,96.10680766207365
outubro 2020,Relações de Trabalho,1.1660244623015623,1.1660244623015623,0.0,0.1752405094668276,0.01,966546.4,0.0029634960180341245,0.1689578056517147,0.01,972675.41,5,2020,2020-10-20,97.55369949569847
dezembro 2020,Relações de Trabalho,1.14034375,1.14034375,-1.0024999999999999e-08,0.171380973975,0.01,966546.41,0.004565385,0.169802036475,0.01,968121.41,6,2020,2020-12-20,99.75062344139651
fevereiro 2018,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2018,2018-02-20,88.73475778602311
abril 2018,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2018,2018-04-20,89.01001122998021
junho 2018,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2018,2018-06-20,90.4920635209639
agosto 2018,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.02162680136780324,0.0,0.0,0.0,4,2018,2018-08-20,90.70897571198554
outubro 2018,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2018,2018-10-20,91.5545284999824
dezembro 2018,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2018,2018-12-20,91.49930738611765
fevereiro 2019,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019,2019-02-20,92.18681122198316
abril 2019,Empregabilidade,0.0,0.0,0.0,0.35890180775471875,0.03,-335241.63,0.0,0.0,0.0,0.0,2,2019,2019-04-20,93.40761811629307
junho 2019,Empregabilidade,0.0,0.4276318560568902,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,400000.0,3,2019,2019-06-20,93.53840092464623
agosto 2019,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2019,2019-08-20,93.8192116226781
outubro 2019,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2019,2019-10-20,93.87546562196702
dezembro 2019,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2019,2019-12-20,95.43930414735041
fevereiro 2020,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,2020-02-20,95.87882600277499
abril 2020,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2020,2020-04-20,95.64850876331589
junho 2020,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2020,2020-06-20,95.53278554553334
agosto 2020,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2020,2020-08-20,96.10680766207365
outubro 2020,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2020,2020-10-20,97.55369949569847
dezembro 2020,Empregabilidade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2020,2020-12-20,99.75062344139651
fevereiro 2018,Fomento ao Trabalho,0.5623501009641557,0.5633643596632895,0.21378319469519108,0.21378319469519108,0.03,310200.0,0.030964889841991465,0.030964889841991465,0.01,472423.38,1,2018,2018-02-20,88.73475778602311
abril 2018,Fomento ao Trabalho,0.5606110965548644,0.2726659581840994,0.0,0.21312209422135828,0.02,53000.0,0.034611073040313835,0.06548020744476538,0.01,184416.06,2,2018,2018-04-20,89.01001122998021
junho 2018,Fomento ao Trabalho,0.5514295735828798,0.2682003156484268,0.0,0.20963164350435332,0.02,53000.0,0.03324239588484033,0.09765018783059214,0.01,154334.33,3,2018,2018-06-20,90.4920635209639
agosto 2018,Fomento ao Trabalho,0.5501109411536065,0.26755896877350765,0.0,0.20913035177723277,0.02,53000.0,0.0,0.11904347850080726,0.01,134716.88,4,2018,2018-08-20,90.70897571198554
outubro 2018,Fomento ao Trabalho,0.5450303859083234,0.2650879251702407,0.0,0.2071989262661502,0.01,53000.0,0.043721944349271256,0.16166599558210654,0.01,94687.46,5,2018,2018-10-20,91.5545284999824
