,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
abril 2020,Contribuições Sociais,-6098.387096774194,-6098.387096774194,-943.491006451613,15.47,-1863.4544064516128,30.56,-4234.932690322581,2,2020,2020-04-20,-0.31
junho 2020,Contribuições Sociais,7271.153846153846,7271.153846153846,1128.5681692307692,15.52,3350.379192307692,46.08,3920.774653846154,3,2020,2020-06-20,0.26
agosto 2020,Contribuições Sociais,7877.083333333334,7877.083333333334,1233.4770708333335,15.66,4863.054529166667,61.74,3014.0288041666668,4,2020,2020-08-20,0.24
outubro 2020,Contribuições Sociais,2198.2558139534885,2198.2558139534885,347.7058965116279,15.82,1704.8373930232558,77.55,493.41842093023257,5,2020,2020-10-20,0.86
fevereiro 2019,Exploração do Patrimônio Imobiliário do Estado,691.1860465116279,691.1860465116279,103.02119534883721,14.9,103.02119534883721,14.9,588.1648511627907,1,2019,2019-02-20,0.43
abril 2019,Exploração do Patrimônio Imobiliário do Estado,521.421052631579,521.421052631579,97.41404561403512,18.68,175.13178947368422,33.59,346.28926315789477,2,2019,2019-04-20,0.57
junho 2019,Exploração do Patrimônio Imobiliário do Estado,29721.0,29721.0,4069.9065,13.69,14052.4185,47.28,15668.5815,3,2019,2019-06-20,0.01
agosto 2019,Exploração do Patrimônio Imobiliário do Estado,2701.909090909091,2701.909090909091,492.24050000000005,18.22,1769.733090909091,65.5,932.176,4,2019,2019-08-20,0.11
outubro 2019,Exploração do Patrimônio Imobiliário do Estado,2972.1,2972.1,473.70891,15.94,2420.41531,81.44,551.6846899999999,5,2019,2019-10-20,0.1
dezembro 2019,Exploração do Patrimônio Imobiliário do Estado,258.4434782608696,258.4434782608696,40.400113913043484,15.63,250.87101043478262,97.07,7.572467826086957,6,2019,2019-12-20,1.15
fevereiro 2020,Exploração do Patrimônio Imobiliário do Estado,1296.0,1296.0,203.303388,15.69,203.303388,15.69,1092.696612,1,2020,2020-02-20,0.25
abril 2020,Exploração do Patrimônio Imobiliário do Estado,-1045.1612903225807,-1045.1612903225807,-135.50219677419355,12.96,-299.45654193548387,28.65,-745.7047483870969,2,2020,2020-04-20,-0.31
junho 2020,Exploração do Patrimônio Imobiliário do Estado,1246.153846153846,1246.153846153846,169.2807653846154,13.58,526.3251038461539,42.24,719.8287423076923,3,2020,2020-06-20,0.26
