,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
dezembro 2019,Demais Receitas Correntes,1486.391043478261,1486.391043478261,313.1572565217391,21.07,1281.1395,86.19,205.25154347826088,6,2019,2019-12-20,1.15
fevereiro 2020,Demais Receitas Correntes,7718.4,7718.4,883.292632,11.44,883.292632,11.44,6835.107368000001,1,2020,2020-02-20,0.25
abril 2020,Demais Receitas Correntes,-6224.516129032258,-6224.516129032258,-604.1053419354839,9.71,-1316.4381096774193,21.15,-4908.078019354838,2,2020,2020-04-20,-0.31
junho 2020,Demais Receitas Correntes,7421.538461538462,7421.538461538462,549.0782538461539,7.4,2118.6775384615385,28.55,5302.860923076923,3,2020,2020-06-20,0.26
agosto 2020,Demais Receitas Correntes,8040.0,8040.0,1212.5615375,15.08,3507.7955374999997,43.63,4532.2044625,4,2020,2020-08-20,0.24
outubro 2020,Demais Receitas Correntes,2243.720930232558,2243.720930232558,197.20988953488373,8.79,1176.1295744186045,52.42,1067.5913558139534,5,2020,2020-10-20,0.86
fevereiro 2019,Operações de Crédito - Mercado Interno,7664.232558139535,7664.232558139535,0.0,0.0,0.0,0.0,7664.232558139535,1,2019,2019-02-20,0.43
abril 2019,Operações de Crédito - Mercado Interno,5781.789473684211,5781.789473684211,0.0,0.0,0.0,0.0,5781.789473684211,2,2019,2019-04-20,0.57
junho 2019,Operações de Crédito - Mercado Interno,329562.0,329562.0,6185.9464,1.88,6185.9464,1.88,323376.0536,3,2019,2019-06-20,0.01
agosto 2019,Operações de Crédito - Mercado Interno,29960.18181818182,29960.18181818182,2620.4130727272727,8.75,3182.7718363636363,10.62,26777.40998181818,4,2019,2019-08-20,0.11
outubro 2019,Operações de Crédito - Mercado Interno,32956.2,32956.2,2809.02193,8.52,6310.07095,19.15,26646.12905,5,2019,2019-10-20,0.1
dezembro 2019,Operações de Crédito - Mercado Interno,2865.7565217391307,2865.7565217391307,333.2893434782609,11.63,881.9911652173914,30.78,1983.7653565217392,6,2019,2019-12-20,1.15
fevereiro 2020,Operações de Crédito - Mercado Interno,7080.4,7080.4,1924.373932,27.18,1924.373932,27.18,5156.026068,1,2020,2020-02-20,0.25
abril 2020,Operações de Crédito - Mercado Interno,-5710.0,-5710.0,-640.5794774193548,11.22,-2192.4939387096774,38.4,-3517.5060612903226,2,2020,2020-04-20,-0.31
junho 2020,Operações de Crédito - Mercado Interno,6808.076923076923,6808.076923076923,1262.5633423076922,18.55,3876.690730769231,56.94,2931.386192307692,3,2020,2020-06-20,0.26
agosto 2020,Operações de Crédito - Mercado Interno,7375.416666666667,7375.416666666667,19.221925,0.26,4218.970216666667,57.2,3156.44645,4,2020,2020-08-20,0.24
outubro 2020,Operações de Crédito - Mercado Interno,2058.2558139534885,2058.2558139534885,219.4986058139535,10.66,1396.8856430232559,67.87,661.3701709302326,5,2020,2020-10-20,0.86
fevereiro 2019,Alienação de Bens Móveis,113.95348837209302,113.95348837209302,0.0,0.0,0.0,0.0,113.95348837209302,1,2019,2019-02-20,0.43
abril 2019,Alienação de Bens Móveis,85.96491228070175,85.96491228070175,12.315789473684212,14.33,12.315789473684212,14.33,73.64912280701755,2,2019,2019-04-20,0.57
junho 2019,Alienação de Bens Móveis,4900.0,4900.0,0.0,0.0,702.0,14.33,4198.0,3,2019,2019-06-20,0.01
agosto 2019,Alienação de Bens Móveis,445.45454545454544,445.45454545454544,29.673936363636365,6.66,93.49211818181819,20.99,351.96242727272727,4,2019,2019-08-20,0.11
outubro 2019,Alienação de Bens Móveis,490.0,490.0,10.75,2.19,113.59133,23.18,376.40867,5,2019,2019-10-20,0.1
dezembro 2019,Alienação de Bens Móveis,42.608695652173914,42.608695652173914,19.849419130434786,46.59,29.726926086956524,69.77,12.881769565217393,6,2019,2019-12-20,1.15
fevereiro 2020,Alienação de Bens Móveis,426.0,426.0,0.0,0.0,0.0,0.0,426.0,1,2020,2020-02-20,0.25
abril 2020,Alienação de Bens Móveis,-343.5483870967742,-343.5483870967742,-0.0,0.0,-0.0,0.0,-343.5483870967742,2,2020,2020-04-20,-0.31
junho 2020,Alienação de Bens Móveis,409.6153846153846,409.6153846153846,0.0,0.0,0.0,0.0,409.6153846153846,3,2020,2020-06-20,0.26
agosto 2020,Alienação de Bens Móveis,443.75,443.75,0.0,0.0,0.0,0.0,443.75,4,2020,2020-08-20,0.24
outubro 2020,Alienação de Bens Móveis,123.83720930232558,123.83720930232558,0.0,0.0,0.0,0.0,123.83720930232558,5,2020,2020-10-20,0.86
