,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Desporto de Rendimento,7.739729724063017,7.739729724063017,1.7638156289992895,1.7638156289992895,0.22,5315969.68,0.0008094621906181637,0.0008094621906181637,0.0,6884279.93,1,2018,2018-02-20,88.95659468048812
abril 2018,Desporto de Rendimento,7.715795480797493,7.86428391960732,0.47367791808320897,2.232039145721589,0.22,5025794.86,0.4248637502621436,0.42567070928202133,0.09,6637663.23,2,2018,2018-04-20,89.2325362580551
junho 2018,Desporto de Rendimento,7.5894284611479925,7.354084528474776,0.29145291349210184,2.486936381281607,0.21,4415393.75,0.3538811159006658,0.7725803160210034,0.1,5970628.32,3,2018,2018-06-20,90.71829367976625
agosto 2018,Desporto de Rendimento,7.571279876146473,6.859238667750708,0.8908010946943832,3.371790470013669,0.25,3171337.11,0.4528635419757848,1.223596388242302,0.12,5124813.47,4,2018,2018-08-20,90.93574815126546
outubro 2018,Desporto de Rendimento,7.501355243112276,6.64226757293159,0.21560479132905622,3.5562550558370862,0.23,2832447.67,0.9389843924183914,2.151280243653817,0.16,4121981.53,5,2018,2018-10-20,91.78341482123231
dezembro 2018,Desporto de Rendimento,7.505882416091539,5.1182650460611105,-0.154946498086923,3.4034548074976256,0.2,1572962.09,0.7955784681058367,2.9481570395250043,0.18,1990597.88,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,Desporto de Rendimento,6.800676365945033,6.800676365945033,3.0283160173015014,3.0283160173015014,0.38,3486312.76,0.6634691278627298,0.6634691278627298,0.28,5671839.89,1,2019,2019-02-20,92.4172782500381
abril 2019,Desporto de Rendimento,6.711793759141167,5.983161001486112,0.07158621950983815,3.060323140945004,0.3,2736978.61,0.6719744645071943,1.3267722687478165,0.26,4360295.36,2,2019,2019-04-20,93.64113716158379
junho 2019,Desporto de Rendimento,6.70240951450762,5.97479551104723,0.44174208635808637,3.497786368023003,0.29,2322747.13,0.7557686663432838,2.0806858787544873,0.25,3651594.1,3,2019,2019-06-20,93.77224692695782
agosto 2019,Desporto de Rendimento,6.682348502890577,6.040906839916213,0.03740617082216882,3.524723298967937,0.25,2366565.22,0.7217365180441031,2.7961946866751246,0.25,3051773.77,4,2019,2019-08-20,94.05375965173477
outubro 2019,Desporto de Rendimento,6.678344167727609,4.8096555619740355,0.7782662514546389,4.300877392782237,0.27,478811.92,0.5570305605989875,3.3515496536259337,0.24,1372225.72,5,2019,2019-10-20,94.11015428602192
dezembro 2019,Desporto de Rendimento,6.568914913307047,4.365130019471525,-0.019558769087824716,4.210845794707739,0.23,147615.91,0.6702090700812314,3.9668412815181124,0.23,381074.31,6,2019,2019-12-20,95.67790240771876
fevereiro 2020,Desporto de Rendimento,5.91457277801802,5.91457277801802,3.561269982879474,3.561269982879474,0.43,2261959.89,0.5300746762834727,0.5300746762834727,0.21,5175500.05,1,2020,2020-02-20,96.11852306778191
abril 2020,Desporto de Rendimento,5.928814799063888,5.928814799063888,0.0,3.569845358303831,0.33,2261959.89,0.2451856615015257,0.7765367333893552,0.15,4940397.33,2,2020,2020-04-20,95.88763003522416
junho 2020,Desporto de Rendimento,5.935996642681935,5.7229899029973055,0.04889704404898984,3.623066718758858,0.29,2011130.4,0.3197523107197729,1.097229698450996,0.13,4430165.37,3,2020,2020-06-20,95.77161750939717
agosto 2020,Desporto de Rendimento,5.900542407550232,5.688807904271385,0.1884788413149192,3.7899058815030213,0.27,1829536.55,0.6349506116548318,1.7256268293570933,0.16,3818409.03,4,2020,2020-08-20,96.34707468122883
