,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
abril 2018,OUTRAS DESPESAS CORRENTES,872.2474185303005,892.967670868002,78.65280494441222,712.7370455780228,180.23062528997906,133.84679917042982,226.94092189015828,666.0267489778437,279.40987738930625,2,2018,2018-04-20,89.2325362580551
junho 2018,OUTRAS DESPESAS CORRENTES,857.9620079137335,884.0729378146154,28.364687017629876,729.4287357584977,154.6442020561177,127.72273636341893,350.9468868581792,533.1260509564362,344.83901639981343,3,2018,2018-06-20,90.71829367976625
agosto 2018,OUTRAS DESPESAS CORRENTES,855.9103650912986,883.055825674015,35.24631451504034,762.9307688060687,120.12505686794624,129.94744836039004,480.05511663448624,403.0007090395288,472.0689522187938,4,2018,2018-08-20,90.93574815126546
outubro 2018,OUTRAS DESPESAS CORRENTES,848.0055961264461,889.3273893762071,37.37487521772229,793.259589075098,96.06780030110907,137.7009792522591,613.3225419281059,276.00484744810103,604.0504548995557,5,2018,2018-10-20,91.78341482123231
dezembro 2018,OUTRAS DESPESAS CORRENTES,848.5173793838212,885.343153209446,12.950282021383387,806.6886143716381,78.65453883780792,153.04456335435918,766.7372540288453,118.60589918060079,748.9049991279068,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,OUTRAS DESPESAS CORRENTES,893.4173854007214,895.6406314526567,634.0402966906878,634.0402966906878,261.600334761969,102.89209941103282,102.89209941103282,792.748532041624,82.71062449295675,1,2019,2019-02-20,92.4172782500381
abril 2019,OUTRAS DESPESAS CORRENTES,881.7407135661434,907.36343955739,101.85238132619327,727.6059795539504,179.7574600034396,137.08400039877182,238.63133385961603,668.732105697774,221.51514225213586,2,2019,2019-04-20,93.64113716158379
junho 2019,OUTRAS DESPESAS CORRENTES,880.5078880568385,913.0090492945975,24.916380225163493,751.5050411972272,161.50400809737027,145.07855895355536,383.3762450739038,529.6328042206937,362.4838251074074,3,2019,2019-06-20,93.77224692695782
agosto 2019,OUTRAS DESPESAS CORRENTES,876.9219157788208,913.4931599772079,36.960707970336635,786.1298667036991,127.36329327350876,137.4765299322249,519.6187404731628,393.8744195040451,499.3972018654297,4,2019,2019-08-20,94.05375965173477
outubro 2019,OUTRAS DESPESAS CORRENTES,876.3964284803043,904.7525660432021,31.131133714814805,816.7899194106108,87.96264663259136,142.7541048245357,662.0614686023774,242.69109744082482,639.4968530822921,5,2019,2019-10-20,94.11015428602192
dezembro 2019,OUTRAS DESPESAS CORRENTES,862.0360712814513,912.7585384852108,49.0222644724453,852.4285202600796,60.33001822513123,162.2625350192411,813.4756718989375,99.2828665862731,803.5001617865524,6,2019,2019-12-20,95.67790240771876
fevereiro 2020,OUTRAS DESPESAS CORRENTES,889.7036749065962,898.2377459765557,659.1070832863762,659.1070832863762,239.13066269017955,112.70518143896808,112.70518143896808,785.5325645375876,91.10529067144228,1,2020,2020-02-20,96.11852306778191
abril 2020,OUTRAS DESPESAS CORRENTES,891.8460407102091,923.7198468401266,95.24358485703657,755.9377678890668,167.78207895105987,139.52523635306596,252.5018067200726,671.2180401200541,229.61771927110837,2,2020,2020-04-20,95.88763003522416
junho 2020,OUTRAS DESPESAS CORRENTES,892.9263744721552,937.0777784576325,36.704671116733294,793.5581408817992,143.51963757583314,136.4507680547188,389.2584417230092,547.8193367346233,367.2087792664594,3,2020,2020-06-20,95.77161750939717
agosto 2020,OUTRAS DESPESAS CORRENTES,887.593146786647,951.5991721320278,21.907734583364924,810.7261495840545,140.87302254797314,130.80575699570645,517.7392546275053,433.8599175045224,495.9309880667213,4,2020,2020-08-20,96.34707468122883
outubro 2020,OUTRAS DESPESAS CORRENTES,874.4285893961446,945.7503999454436,25.896414083380083,824.5980781665952,121.15232177884849,124.91391563336867,634.9741923918637,310.77620755358,620.0015804219563,5,2020,2020-10-20,97.79758374443772
fevereiro 2016,INVESTIMENTOS,107.67742396163675,126.88124419354448,36.23689991256566,36.23689991256566,90.6443442809788,1.9968891271917804,1.9968891271917804,124.88435506635268,1.73865403045933,1,2016,2016-02-20,82.5667783728512
abril 2016,INVESTIMENTOS,106.56633880301855,131.27950571908767,11.8367431541422,47.26753007076916,84.01197564831851,6.281335679976764,8.246538156782313,123.03296756230536,8.070488441754616,2,2016,2016-04-20,83.42763859452558
junho 2016,INVESTIMENTOS,105.37275005136179,134.13069473560705,17.7508371360787,64.48895057449688,69.64174416111018,11.590003212614508,19.74417660117261,114.38651813443445,19.625794374475596,3,2016,2016-06-20,84.37264848517734
agosto 2016,INVESTIMENTOS,104.3684252196838,131.74429542121896,4.393780868355489,68.2680767584178,63.47621866280115,9.481351286455574,29.037342926792224,102.70695249442674,28.85714823356989,4,2016,2016-08-20,85.18455635683237
outubro 2016,INVESTIMENTOS,104.01455936755066,126.90121022253906,2.9690483313941587,71.00565909705831,55.89555112548076,12.240512024469561,41.179402530648524,85.72180769189055,10.950210761400816,5,2016,2016-10-20,85.47436103232282
dezembro 2016,INVESTIMENTOS,103.5171182077153,100.66898364947808,-6.523972634216693,64.1421076804973,36.52687596898078,8.149085264567692,49.13155065602411,51.53743299345396,49.00559622318771,6,2016,2016-12-20,85.88509952682755
fevereiro 2017,INVESTIMENTOS,87.71492721438821,91.19139551941751,30.957615064564326,30.957615064564326,60.233780454853196,1.2995274235692085,1.2995274235692085,89.89186809584831,,1,2017,2017-02-20,86.49596073261608
abril 2017,INVESTIMENTOS,87.37386333884501,92.10182308946919,5.140087394089077,35.977329284932495,56.12449380453671,4.117048198002529,5.411522640585116,86.69030044888409,5.200313563885063,2,2017,2017-04-20,86.83359771533586
junho 2017,INVESTIMENTOS,87.30464210725742,105.2292583200258,4.763498043827921,40.71232458266257,64.51693373736323,5.8314209716364855,11.238656377485366,93.99060194254042,10.877211451164403,3,2017,2017-06-20,86.90244546995642
agosto 2017,INVESTIMENTOS,86.93044479182434,108.54712378100402,13.367827610224456,53.905654683978426,54.64146909702556,7.988522250210233,19.179008508169044,89.36811527283496,18.763778512045008,4,2017,2017-08-20,87.27652226062857
outubro 2017,INVESTIMENTOS,86.42857823799818,107.92045988816221,13.290652512467263,53.59444673821471,54.3260131499475,7.942402940209261,19.068284320241013,88.8521755679212,18.65545152854517,5,2017,2017-10-20,87.7833125879698
dezembro 2017,INVESTIMENTOS,85.80969128534706,98.70646376675575,9.399959205177433,67.47318621546798,31.233277551287777,10.217766119422048,37.69987717075486,61.00658659600089,46.4980118096676,6,2017,2017-12-20,88.41643392901426
fevereiro 2018,INVESTIMENTOS,90.19071187264984,93.69561212338287,15.938107557876004,15.938107557876004,77.75750456550688,1.465003505002479,1.465003505002479,92.23060861838042,1.3213529409729314,1,2018,2018-02-20,88.95659468048812
abril 2018,INVESTIMENTOS,89.91180724481258,100.59642956959755,3.534443872444898,19.423264626119412,81.17316494347814,3.5026066848098374,4.9630798313213,95.63334973827624,5.311864112314889,2,2018,2018-04-20,89.2325362580551
junho 2018,INVESTIMENTOS,88.43925821975041,105.59478067141576,10.629352602286342,29.73450873670523,75.86027193471054,2.3926598726185313,7.27445584822755,98.32032482318822,7.088751440476354,3,2018,2018-06-20,90.71829367976625
agosto 2018,INVESTIMENTOS,88.22777359959898,109.12547300422585,6.112632218908783,35.7760368847279,73.34943611949795,4.66104243509324,11.918102891694504,97.20737011253135,11.571451056295697,4,2018,2018-08-20,90.93574815126546
outubro 2018,INVESTIMENTOS,87.41294509064203,109.41775676531931,9.276346926711227,44.7219738554601,64.6957829098592,3.679668474503872,15.48770160457312,93.93005516074619,14.997761956025665,5,2018,2018-10-20,91.78341482123231
dezembro 2018,INVESTIMENTOS,87.46570002761365,109.19447599235764,4.027271453251863,48.776235646465075,60.41824034589256,6.494035099175662,21.9910837486417,87.20339224371594,19.32907621716733,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,INVESTIMENTOS,80.92206394313412,89.01183500279733,11.462840651223823,11.462840651223823,77.5489943515735,1.1681942494336064,1.1681942494336064,87.84364075336372,1.0162372532320414,1,2019,2019-02-20,92.4172782500381
abril 2019,INVESTIMENTOS,79.8644391416905,103.29860184534732,8.303794022260126,19.616819110496703,83.68178273485061,4.459610505150096,5.612536839371195,97.68606500597613,5.3572801890941415,2,2019,2019-04-20,93.64113716158379
junho 2019,INVESTIMENTOS,79.75277488898519,109.14943374421338,16.44188173501858,36.03127315091215,73.11816059330124,6.433115199531144,12.037804744929142,97.11162899928425,11.618054975781993,3,2019,2019-06-20,93.77224692695782
agosto 2019,INVESTIMENTOS,79.51406650507099,110.09101865083198,9.294514458932383,45.21794224651771,64.87307640431426,9.976608882776254,21.97838322098241,88.11263542984955,21.277147350728892,4,2019,2019-08-20,94.05375965173477
outubro 2019,INVESTIMENTOS,79.46641844057403,117.4877474049817,16.736593951519485,61.92743976688631,55.5603076380954,10.63973694014784,32.60494981948781,84.88279758549389,31.970724167082675,5,2019,2019-10-20,94.11015428602192
dezembro 2019,INVESTIMENTOS,78.16430661419547,110.72665501020984,6.878752621429799,67.79146876945677,42.93518624075306,14.951671430921667,47.02236676163842,63.7042882485714,46.433962453190105,6,2019,2019-12-20,95.67790240771876
fevereiro 2020,INVESTIMENTOS,74.63864998155297,96.69607739858586,17.442253006922826,17.442253006922826,79.25382439166304,1.905296025729145,1.905296025729145,94.79078137285673,1.822650644313971,1,2020,2020-02-20,96.11852306778191
abril 2020,INVESTIMENTOS,74.818376440888,97.24037798801356,3.157405474395217,20.641658629720173,76.59871935829338,4.642291876819556,6.552175768336386,90.68820221967718,6.040571810850117,2,2020,2020-04-20,95.88763003522416
junho 2020,INVESTIMENTOS,74.90900735070143,106.50716437987627,7.950307343668801,28.616970155391616,77.89019422448463,7.04261544850508,13.602728166016124,92.90443621386012,12.868080930961373,3,2020,2020-06-20,95.77161750939717
agosto 2020,INVESTIMENTOS,74.46159443591006,109.27538952099837,7.7703757947708505,36.21642388774907,73.0589656332493,7.198085051305833,20.71956749703923,88.55582202395915,20.247070577432503,4,2020,2020-08-20,96.34707468122883
outubro 2020,INVESTIMENTOS,73.35719887259519,106.42567084477656,14.927834432136805,50.607105467280945,55.818565377495624,5.419527596765855,25.831787701438827,80.59388314333773,25.601372929036216,5,2020,2020-10-20,97.79758374443772
fevereiro 2016,AMORTIZAÇÃO DA DÍVIDA,12.85323250966214,16.062062213584753,8.115215649740287,8.115215649740287,7.946846563844464,3.2569998042750763,3.2569998042750763,12.805062409309674,3.183868017871437,1,2016,2016-02-20,82.5667783728512
abril 2016,AMORTIZAÇÃO DA DÍVIDA,12.720604560772479,22.63749475373413,8.90232995338232,16.9338075702493,5.703687183484832,5.996075610281328,9.219467588412257,13.418027165321877,,2,2016,2016-04-20,83.42763859452558
junho 2016,AMORTIZAÇÃO DA DÍVIDA,12.578128327765382,22.383945092487995,0.6930677897384377,17.437209444224877,4.946735648263119,3.2397143257630603,12.355919918563984,10.028025173924012,12.355919918563984,3,2016,2016-06-20,84.37264848517734
agosto 2016,AMORTIZAÇÃO DA DÍVIDA,12.458244139401222,22.17060006850082,0.9893779178347532,18.26039048068879,3.910209587812028,3.4547447751824305,15.692898409897985,6.477701658602839,15.692898409897985,4,2016,2016-08-20,85.18455635683237
outubro 2016,AMORTIZAÇÃO DA DÍVIDA,12.416003900850217,21.042482321919287,1.752646854456736,19.9511246577804,1.09135766413889,3.4442359608710333,19.08392689104928,1.9585554308700122,2.141407175080065,5,2016,2016-10-20,85.47436103232282
dezembro 2016,AMORTIZAÇÃO DA DÍVIDA,12.356625373281451,22.41699110331248,2.4631875047652327,22.3188975335732,0.09809356973928161,3.326237968796499,22.3188975335732,0.09809356973928161,22.261447230468423,6,2016,2016-12-20,85.88509952682755
fevereiro 2017,AMORTIZAÇÃO DA DÍVIDA,22.75713204787552,21.48539636139599,9.697179786150594,9.697179786150594,11.788216575245396,4.374279039105789,4.374279039105789,17.1111173222902,,1,2017,2017-02-20,86.49596073261608
abril 2017,AMORTIZAÇÃO DA DÍVIDA,22.668644992148668,21.40185422343481,1.2347114114916449,10.894185440768952,10.507668782665858,2.937355651624154,7.294626085590954,14.107228137843858,6.88980373658224,2,2017,2017-04-20,86.83359771533586
junho 2017,AMORTIZAÇÃO DA DÍVIDA,22.65068594278521,21.09560887597562,1.2394807927153035,12.125035403799762,8.970573472175857,2.7313551156861253,10.020202093174039,11.075406782801583,10.020202093174039,3,2017,2017-06-20,86.90244546995642
agosto 2017,AMORTIZAÇÃO DA DÍVIDA,22.55360260714659,20.340636336294992,3.836581893124444,15.909648059228243,4.430988277066746,3.0014402065396113,12.978694609500838,7.361941726794151,12.978694609500838,4,2017,2017-08-20,87.27652226062857
outubro 2017,AMORTIZAÇÃO DA DÍVIDA,22.42339622382578,20.22320584246543,3.814432551339927,15.817798532135722,4.405407310329708,2.9841123019536115,12.903766053085068,7.31943978938036,12.903766053085068,5,2017,2017-10-20,87.7833125879698
dezembro 2017,AMORTIZAÇÃO DA DÍVIDA,22.262829572840985,20.22316350640828,0.774534166973765,18.06811351702533,2.1550499893829445,2.6399846230781177,18.06811351702533,2.1550499893829445,18.123919036211525,6,2017,2017-12-20,88.41643392901426
fevereiro 2018,AMORTIZAÇÃO DA DÍVIDA,22.73018664060337,21.206971858307746,8.574664517450417,8.574664517450417,12.632307340857327,1.9981778713364824,1.9981778713364824,19.208793986971262,1.9981778713364824,1,2018,2018-02-20,88.95659468048812
abril 2018,AMORTIZAÇÃO DA DÍVIDA,22.659896096111154,21.92585890803238,2.669035185901719,11.21718351818835,10.708675389844032,3.4168518657618776,5.408850596874424,16.51700831115796,6.149699381098378,2,2018,2018-04-20,89.2325362580551
junho 2018,AMORTIZAÇÃO DA DÍVIDA,22.288779010081686,21.566763666283293,1.318240920868124,12.351712720208731,9.215050946074562,2.4895693232199023,7.809835362434978,13.756928303848316,7.422348125030729,3,2018,2018-06-20,90.71829367976625
agosto 2018,AMORTIZAÇÃO DA DÍVIDA,22.235479897702497,21.515191107742304,1.3198503497255254,13.642026444170588,7.873164663571714,2.290679223901027,10.08183894275512,11.433352164987182,10.08183894275512,4,2018,2018-08-20,90.93574815126546
outubro 2018,AMORTIZAÇÃO DA DÍVIDA,22.03012389480468,20.254203917132493,0.4093108441560117,13.925346213032082,6.32885770410041,2.4356948522281887,12.424422867912305,7.829781049220187,12.424422867912305,5,2018,2018-10-20,91.78341482123231
dezembro 2018,AMORTIZAÇÃO DA DÍVIDA,22.043419383205652,20.25007492794486,0.753525565398231,14.687275919956662,5.562799007988198,2.2553547387839337,14.687275919956662,5.562799007988198,14.687275919956662,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,AMORTIZAÇÃO DA DÍVIDA,23.412175092909187,23.65888220690051,10.43129262465163,10.43129262465163,13.227589582248882,2.9023749246790813,2.9023749246790813,20.756507282221428,2.9023749246790813,1,2019,2019-02-20,92.4172782500381
abril 2019,AMORTIZAÇÃO DA DÍVIDA,23.106185652854844,18.757669473503558,1.417016666201235,11.711975721819083,7.045693751684477,3.084114607682061,5.9485564452171245,12.809113028286434,5.9485564452171245,2,2019,2019-04-20,93.64113716158379
junho 2019,AMORTIZAÇÃO DA DÍVIDA,23.073879222339276,18.411518936352433,1.2885555370569173,12.984155897942715,5.427363038409715,3.014570006200137,8.954809344113068,9.456709592239363,8.954809344113068,3,2019,2019-06-20,93.77224692695782
agosto 2019,AMORTIZAÇÃO DA DÍVIDA,23.004816692195803,18.356411337440417,1.2854304330594621,14.230723396449713,4.125687940990702,2.6225759173620706,11.550582581947456,6.80582875549296,11.446058286093658,4,2019,2019-08-20,94.05375965173477
outubro 2019,AMORTIZAÇÃO DA DÍVIDA,22.99103126984641,18.249778815367396,1.1208929025809486,15.343088670448251,2.9066901449191436,2.542800198506778,14.08646120131695,4.163317614050444,13.973248529625662,5,2019,2019-10-20,94.11015428602192
dezembro 2019,AMORTIZAÇÃO DA DÍVIDA,22.61430743725675,17.741708976502977,1.1656430293041486,16.257324657595273,1.4843843189077104,2.4016797945756596,16.257324657595273,1.4843843189077104,16.2052360261079,6,2019,2019-12-20,95.67790240771876
fevereiro 2020,AMORTIZAÇÃO DA DÍVIDA,16.80217244766773,16.80217244766773,10.115224765931648,10.115224765931648,6.686947681736077,2.5719343276391107,2.5719343276391107,14.230238120028618,2.5719343276391107,1,2020,2020-02-20,96.11852306778191
abril 2020,AMORTIZAÇÃO DA DÍVIDA,16.842631311324855,16.842631311324855,2.7172636231001506,12.856845388160375,3.98578592316448,4.174119538182038,6.752246966184873,10.090384345139979,6.752246966184873,2,2020,2020-04-20,95.88763003522416
junho 2020,AMORTIZAÇÃO DA DÍVIDA,16.863033558366443,16.863033558366443,1.2866655404239045,14.159085011453886,2.70394854691256,2.200627414268328,8.96105368498962,7.901979873376826,8.96105368498962,3,2020,2020-06-20,95.77161750939717
agosto 2020,AMORTIZAÇÃO DA DÍVIDA,16.76231484290875,17.540750516728043,-0.6718473831630651,13.402668926611257,4.1380815901167844,1.8149395462036644,10.722471080912573,6.818279435815471,10.722471080912573,4,2020,2020-08-20,96.34707468122883
outubro 2020,AMORTIZAÇÃO DA DÍVIDA,16.513700422499998,16.857267192899997,3.0176300344105886,16.221513960361303,0.6357532325386949,3.2373186829169174,13.8007567807294,3.0565104121705993,13.8007567807294,5,2020,2020-10-20,97.79758374443772
