,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
abril 2019,Difusão Cultural,6.957676612531436,7.016558319515469,0.5834821088376868,3.4872478558917672,0.34,3296644.84,0.9016265664235982,1.3132044952402429,0.26,5327366.96,2,2019,2019-04-20,93.40761811629307
junho 2019,Difusão Cultural,6.947948581284324,7.006747961492146,0.5263782950455246,4.0087503773137465,0.33,2804279.0,0.7880925082243575,2.0994609172141216,0.25,4590197.83,3,2019,2019-06-20,93.53840092464623
agosto 2019,Difusão Cultural,6.9271526455984995,7.485673646720766,0.8537575365922005,4.8505093053883614,0.35,2472290.41,1.2579854910171862,3.351162502457034,0.3,3878965.76,4,2019,2019-08-20,93.8192116226781
outubro 2019,Difusão Cultural,6.923001613830848,7.409497203465645,0.5579505428066126,5.405553225626357,0.34,1881211.74,0.915541450905872,4.264695800414941,0.3,2952196.96,5,2019,2019-10-20,93.87546562196702
dezembro 2019,Difusão Cultural,6.809563479178432,6.790508384254518,0.08428226789647349,5.401261792564224,0.3,1325887.28,0.9209896675723012,5.115805499233145,0.29,1598324.78,6,2019,2019-12-20,95.43930414735041
fevereiro 2020,Difusão Cultural,6.309526568279957,6.413824883318886,2.846403563515695,2.846403563515695,0.34,3420401.68,0.5682496362483945,0.5682496362483945,0.23,5604668.92,1,2020,2020-02-20,95.87882600277499
abril 2020,Difusão Cultural,6.324719620009557,6.52650007899986,0.7916048768450776,3.6448624501055322,0.34,2756243.42,0.7494686632008798,1.3190866186132273,0.25,4980813.32,2,2020,2020-04-20,95.64850876331589
junho 2020,Difusão Cultural,6.3323810411836625,6.534405926041659,0.34463049320704486,3.9939081313414024,0.31,2427008.31,0.4443265079899542,1.765010996351961,0.21,4556335.83,3,2020,2020-06-20,95.53278554553334
agosto 2020,Difusão Cultural,6.294559300388974,6.564847125277898,0.1520781758914647,4.1221316849164,0.29,2347615.83,0.4220167435236282,2.1764857671216373,0.2,4217514.01,4,2020,2020-08-20,96.10680766207365
outubro 2020,Difusão Cultural,6.201199986543561,6.467478970675224,0.4634691276059052,4.524462396420569,0.29,1895484.55,0.6496931877277978,2.7938978676253896,0.21,3583714.27,5,2020,2020-10-20,97.55369949569847
dezembro 2020,Difusão Cultural,6.06462375,8.8312881625,1.5726752233499999,5.997490124474999,0.35,2826731.21,2.74283440605,5.475199012875,0.33,3347719.85,6,2020,2020-12-20,99.75062344139651
