,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Policiamento,46.05861448177364,46.05861448177364,7.528149675134631,7.528149675134631,0.94,34189914.62,6.853217523469553,6.853217523469553,3.01,34788814.03,1,2018,2018-02-20,88.73475778602311
abril 2018,Policiamento,45.916183399193,45.916183399193,7.007390128155798,14.512259847518358,1.43,27952635.88,6.691456149366138,13.523480868796513,2.7,28832748.16,2,2018,2018-04-20,89.01001122998021
junho 2018,Policiamento,45.16418170808076,45.16418170808076,7.782599120826175,22.05718146252235,1.85,20910001.34,7.728319366239055,21.030316659307065,2.7,21839232.49,3,2018,2018-06-20,90.4920635209639
agosto 2018,Policiamento,45.05618069127836,45.05618069127836,6.543662546523174,28.54809871541561,2.1,14974312.07,6.860793136679303,27.840820042093284,2.66,15615877.31,4,2018,2018-08-20,90.70897571198554
outubro 2018,Policiamento,44.640063871890135,44.640063871890135,6.457434270988722,34.74187672760077,2.28,9062238.57,6.660573671133233,34.244269533872405,2.61,9517820.49,5,2018,2018-10-20,91.5545284999824
dezembro 2018,Policiamento,44.667004775820665,44.72274290265127,8.55819433359785,43.32103827051917,2.51,1282550.03,8.937049572946465,43.201986003226786,2.6,1391482.03,6,2018,2018-12-20,91.49930738611765
fevereiro 2019,Policiamento,45.90135990072019,46.54462583229912,7.577865160319316,7.577865160319316,0.96,35922214.1,6.6766082245529175,6.6766082245529175,2.84,36753054.13,1,2019,2019-02-20,92.18681122198316
abril 2019,Policiamento,45.30144420053358,45.75965773667914,7.010396595112183,14.48922154630904,1.41,29208969.62,6.534601537960974,13.12394868557483,2.57,30484238.48,2,2019,2019-04-20,93.40761811629307
junho 2019,Policiamento,45.238104972618274,45.695677847254856,7.714292428211394,22.18325554519146,1.81,21993143.84,8.040175591689424,21.1457747347361,2.56,22963586.8,3,2019,2019-06-20,93.53840092464623
agosto 2019,Policiamento,45.10270260016933,45.55890591140729,7.404884010260339,29.521742754982853,2.1,15045940.04,6.958312319075155,28.040795541753283,2.53,16435353.04,4,2019,2019-08-20,93.8192116226781
outubro 2019,Policiamento,45.07567522530425,45.939019033646815,6.639348203181144,36.14340032850966,2.28,9195682.67,6.802553998204278,34.82654635414095,2.49,10431885.47,5,2019,2019-10-20,93.87546562196702
dezembro 2019,Policiamento,44.3370793385806,46.033621485933374,9.330135859176012,44.88130175788711,2.48,1099765.93,8.875556297981626,43.13144577882257,2.47,2769816.3,6,2019,2019-12-20,95.43930414735041
fevereiro 2020,Policiamento,45.62529791377911,45.62529791377911,7.268197797705938,7.268197797705938,0.87,36776337.28,6.441315728898531,6.441315728898531,2.58,37569142.1,1,2020,2020-02-20,95.87882600277499
abril 2020,Policiamento,45.73516154679197,45.73516154679197,6.385381862160742,13.671081148120434,1.28,30668814.75,6.377655123818915,12.834481246725108,2.4,31469010.08,2,2020,2020-04-20,95.64850876331589
junho 2020,Policiamento,45.790562632710035,45.790562632710035,7.7083063766523905,21.395947928533612,1.69,23304854.95,7.367267634675467,20.217295873566243,2.42,24430854.09,3,2020,2020-06-20,95.53278554553334
agosto 2020,Policiamento,45.51706696347065,45.324416718910435,5.945704585352686,27.21385982558364,1.92,17405478.08,5.730615514111404,25.827158495657013,2.37,18738192.46,4,2020,2020-08-20,96.10680766207365
outubro 2020,Policiamento,44.841969321654375,44.66755256362306,5.68788862819566,32.49811935773683,2.07,11871732.3,6.374595993947114,31.818692597474165,2.36,12534538.24,5,2020,2020-10-20,97.55369949569847
dezembro 2020,Policiamento,43.8543625,42.929405875,7.933041736474999,39.715417230724995,2.31,3205973.71,8.15551640615,39.273428945549995,2.38,3646859.78,6,2020,2020-12-20,99.75062344139651
