,Cota-Parte do FPM,Cota-Parte do ICMS,Cota-Parte do IPVA,Cota-Parte do ITR,Transferências do FUNDEB
Jan,6.281020145235927,36.95158231265743,41.79686185346088,0.11074425206971855,19.88098293339376
Fev,9.053160871774521,37.7976657838417,17.93397629785573,0.03424029201092829,16.782810450280525
Mar,5.2899307542634295,43.5369629249956,14.125972014215018,0.028973231861434492,17.433502391153144
Abr,5.20142761693332,29.501114836849627,1.7695756179412105,0.019640264383510027,10.77850115312409
Mai,5.455043497217127,29.109383425194405,2.121568701670464,0.025705209192602843,10.816467307804922
Jun,4.429182124060692,35.421764116645896,3.638204905417945,0.007201925454922198,13.043478025730622
Jul,7.836826215286122,31.28736663021027,3.0845070176332996,0.008582710599443943,11.602212785165994
Ago,4.821257081280129,37.427398396664096,3.4386637433844967,0.0433919625617291,13.615269831882863
Set,3.85886827944848,43.458416026587884,4.454319436026723,0.3755283993900749,15.744760411696397
Out,5.1482045129630905,41.70746544757543,3.4644260007269363,1.487967547621303,15.216787376325543
Nov,6.763361228958699,38.17947294324381,3.0691374769287747,0.18660714620431249,14.35894195560576
Dez,9.950364045425,54.059690425575,4.687966198775,0.14063934155,19.89162486955
