,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Abastecimento,1.2658796416713876,1.2658796416713876,0.3162336128847349,0.3162336128847349,0.04,843960.0,0.0003375679044457033,0.0003375679044457033,0.0,1124700.0,1,2018,2018-02-20,88.87100818799969
abril 2018,Abastecimento,1.2619579212238967,1.2619579212238967,0.006770297682030636,0.3220242125093764,0.03,837924.47,0.19673703009026788,0.19707355220259426,0.04,949314.47,2,2018,2018-04-20,89.14718795924118
junho 2018,Abastecimento,1.24107302241081,1.24107302241081,0.4798588432395028,0.796553683841534,0.07,402945.07,0.11609799060597198,0.30991005434903424,0.04,844074.7,3,2018,2018-06-20,90.64736560099134
agosto 2018,Abastecimento,1.2380907611701473,1.2380907611701473,0.11700260337466177,0.911642192610535,0.07,296629.82,0.2860812630988554,0.5952466128845904,0.06,584124.92,4,2018,2018-08-20,90.86571318380062
outubro 2018,Abastecimento,1.2266032598517063,1.368393690277524,0.15626969143071087,1.0594533031213285,0.07,283349.92,0.2237328707225547,0.8134565474341567,0.06,508970.02,5,2018,2018-10-20,91.71669738885336
dezembro 2018,Abastecimento,1.227335358007349,1.3692104160515661,0.026699158817605942,1.0867847966429023,0.06,258876.94,0.2651319950994924,1.0790740540739854,0.07,265944.76,6,2018,2018-12-20,91.66198893076003
fevereiro 2019,Abastecimento,1.9977614587691845,1.9977614587691845,0.34876313180570795,0.34876313180570795,0.04,1522905.5,0.09985475525819562,0.09985475525819562,0.04,1752780.77,1,2019,2019-02-20,92.35336841149692
abril 2019,Abastecimento,1.9714764118157937,1.9714764118157937,0.005994143132640583,0.3501685112223978,0.03,1517295.9,0.196119235738206,0.29466017701778074,0.06,1569243.2,2,2019,2019-04-20,93.584685514989
junho 2019,Abastecimento,1.968716601131185,1.968716601131185,0.541391260531504,0.891069581360097,0.07,1009926.34,0.0319031859032144,0.3261508769789933,0.04,1539344.85,3,2019,2019-06-20,93.71587555770597
agosto 2019,Abastecimento,1.9628145659454879,1.9628145659454879,0.08776813099756248,0.9761663659490042,0.07,927426.34,0.3484696829359475,0.6736427889393367,0.06,1211791.46,4,2019,2019-08-20,93.99767211892802
outubro 2019,Abastecimento,1.9616360920800944,1.9616360920800944,0.021700267013200394,0.9972805426760889,0.06,907016.34,0.16816268402096113,0.8414010178298187,0.06,1053627.49,5,2019,2019-10-20,94.05414222592046
dezembro 2019,Abastecimento,1.9291879829083654,1.512917336105127,0.042630254979000325,1.0234144311504942,0.06,468141.45,0.15403971079858106,0.9815228199021205,0.06,508204.95,6,2019,2019-12-20,95.63609230130871
fevereiro 2020,Abastecimento,2.0244064397260058,2.0244064397260058,0.1772942894308112,0.1772942894308112,0.02,1774660.0,0.00031224777990632483,0.00031224777990632483,0.0,1944700.0,1,2020,2020-02-20,96.07754459935659
abril 2020,Abastecimento,2.0292606222193745,2.0292606222193745,0.514854510842424,0.6925739218392611,0.06,1281183.7,0.17230075304146653,0.17261374953846692,0.03,1779553.66,2,2020,2020-04-20,95.84771806554745
junho 2020,Abastecimento,2.03167568587109,2.03167568587109,0.004141234013972797,0.6975394019290933,0.06,1277219.14,0.13651339724838493,0.3093325778624526,0.04,1648864.22,3,2020,2020-06-20,95.73378337527687
agosto 2020,Abastecimento,2.0195031854337895,1.931247262162904,0.20076395127362232,0.8941241435315735,0.06,998861.74,0.1958159088930646,0.5032951639218152,0.05,1375272.32,4,2020,2020-08-20,96.3108161467056
outubro 2020,Abastecimento,1.9893217911076087,1.631346147463566,0.20401095344102296,1.0847724474124827,0.07,534396.12,0.38134333224082567,0.877116770069636,0.07,737425.26,5,2020,2020-10-20,97.77201500000001
fevereiro 2018,Extensão Rural,4.298364649941956,4.298364649941956,1.9054236297373937,1.9054236297373937,0.24,2126630.81,0.2531848401269549,0.2531848401269549,0.11,3594992.08,1,2018,2018-02-20,88.87100818799969
abril 2018,Extensão Rural,4.285048230289142,4.285048230289142,0.0,1.8995205892239946,0.19,2126630.81,0.457035436929634,0.7094359053581788,0.14,3187557.84,2,2018,2018-04-20,89.14718795924118
junho 2018,Extensão Rural,4.21413239609715,4.21413239609715,0.7416533900822461,2.60973767336282,0.22,1454341.55,0.35767885569578456,1.0553738805946478,0.14,2863331.38,3,2018,2018-06-20,90.64736560099134
agosto 2018,Extensão Rural,4.204005962373301,5.288023206597829,0.05421847061316309,2.6576850226390216,0.2,2390075.55,0.5008250901849858,1.5536629390057808,0.15,3393253.09,4,2018,2018-08-20,90.86571318380062
outubro 2018,Extensão Rural,4.164999513452015,5.2389588120777315,0.3948936892749666,3.0279196471999343,0.2,2027892.1,0.4726919114432584,2.011939344235768,0.15,2959715.68,5,2018,2018-10-20,91.71669738885336
dezembro 2018,Extensão Rural,4.16748539341162,4.839541506513564,-0.24057704024573964,2.7891498207956262,0.16,1879429.8,0.46926174635476947,2.482401916588145,0.15,2160601.03,6,2018,2018-12-20,91.66198893076003
fevereiro 2019,Extensão Rural,5.37067579159629,6.426403391758868,1.6497782876865015,1.6497782876865015,0.21,4411374.18,0.2373110951659848,0.2373110951659848,0.1,5715835.21,1,2019,2019-02-20,92.35336841149692
abril 2019,Extensão Rural,5.30001246753731,6.341849595732648,0.8054770883204677,2.433548830631306,0.24,3657570.98,0.41419161465036586,0.648380348409478,0.13,5328215.29,2,2019,2019-04-20,93.584685514989
junho 2019,Extensão Rural,5.292593139084378,6.33297183073907,0.8622743960839551,3.2924165747137253,0.27,2849482.98,0.3385268804372956,0.9859995806484456,0.12,5010961.86,3,2019,2019-06-20,93.71587555770597
agosto 2019,Extensão Rural,5.276726421186786,6.200153544894474,0.07404438687794361,3.3565905930181685,0.24,2672882.98,0.4436780726573127,1.4267217153029366,0.13,4486914.8,4,2019,2019-08-20,93.99767211892802
outubro 2019,Extensão Rural,5.273558274643506,6.1964309727061195,0.4134532417146759,3.768028537740797,0.24,2284013.08,0.4664726184479392,1.892337730033008,0.14,4048177.98,5,2019,2019-10-20,94.05414222592046
dezembro 2019,Extensão Rural,5.1863265014772315,4.648546540351654,-0.19864009018841977,3.5070601686996183,0.19,1091672.96,1.238228425591784,3.09926433491411,0.18,1481672.96,6,2019,2019-12-20,95.63609230130871
fevereiro 2020,Extensão Rural,5.891074780899328,6.237861619998285,1.9629540470298716,1.9629540470298716,0.24,4107226.23,0.296259371726186,0.296259371726186,0.12,5708545.55,1,2020,2020-02-20,96.07754459935659
abril 2020,Extensão Rural,5.905200576741213,6.461483283060179,0.2924159653006333,2.260076842433095,0.21,4026952.2,0.666522367870158,0.9634921192056501,0.18,5269699.07,2,2020,2020-04-20,95.84771806554745
junho 2020,Extensão Rural,5.912228474051604,5.551002052398132,1.0216862276985836,3.284452832783395,0.26,2169853.32,0.5048100293974226,1.4694488198439817,0.18,3907425.33,3,2020,2020-06-20,95.73378337527687
agosto 2020,Extensão Rural,5.87680618486131,5.517744000741474,0.09500490563865897,3.3597793990978286,0.24,2078353.32,0.5534255666446578,2.014070389607379,0.19,3374416.65,4,2020,2020-08-20,96.3108161467056
outubro 2020,Extensão Rural,5.788977551500805,5.399483972995749,0.639682326277105,3.949249956646592,0.25,1417923.02,0.5442840980622113,2.5282542862597235,0.19,2807259.12,5,2020,2020-10-20,97.77201500000001
fevereiro 2018,Irrigação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2018,2018-02-20,88.87100818799969
abril 2018,Irrigação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2018,2018-04-20,89.14718795924118
junho 2018,Irrigação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2018,2018-06-20,90.64736560099134
agosto 2018,Irrigação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2018,2018-08-20,90.86571318380062
outubro 2018,Irrigação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2018,2018-10-20,91.71669738885336
