,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
fevereiro 2018,Legislativa,39.979756563007015,39.979756563007015,8.48731708662858,8.48731708662858,1.07,28014601.74,4.7412105815749035,4.7412105815749035,2.09,31347010.52,1,2018,2018-02-20,88.95659468048812
abril 2018,Legislativa,39.856123664522144,39.856123664522144,5.917114184371701,14.37818519793762,1.42,22734610.68,5.476028369146461,10.20257729049831,2.04,26460611.52,2,2018,2018-04-20,89.2325362580551
junho 2018,Legislativa,39.203371842004024,39.203371842004024,5.772269051361079,19.914972578490577,1.68,17498106.69,5.927895435272539,15.963377928072726,2.05,21082925.93,3,2018,2018-06-20,90.71829367976625
agosto 2018,Legislativa,39.109624897835175,39.109624897835175,4.949176810547163,24.81652675519991,1.83,12997535.73,5.3666141965227645,21.29181893109059,2.04,16202755.16,4,2018,2018-08-20,90.93574815126546
outubro 2018,Legislativa,38.748427555533496,38.748427555533496,4.20140991431923,28.78874338186803,1.89,9141338.24,5.340764297719321,26.43594241645827,2.02,11300819.31,5,2018,2018-10-20,91.78341482123231
dezembro 2018,Legislativa,38.77181277440837,38.44475907436081,5.113771807901218,33.919889599715376,1.97,4150574.79,6.720507434730526,33.17240431279079,2.0,4836228.51,6,2018,2018-12-20,91.72805565458292
fevereiro 2019,Legislativa,42.26374195345219,42.26374195345219,9.401024586002045,9.401024586002045,1.19,30370828.95,4.868850268264794,4.868850268264794,2.08,34559341.1,1,2019,2019-02-20,92.4172782500381
abril 2019,Legislativa,41.71136872526568,41.71136872526568,5.702816029225675,14.980972311125587,1.46,25030647.17,5.3717548210890635,10.176970815247218,2.0,29529168.8,2,2019,2019-04-20,93.64113716158379
junho 2019,Legislativa,41.65304904171092,41.65304904171092,6.18431716210998,21.144343491570897,1.73,19231474.01,6.2493091421437645,16.412050797916486,1.99,23669051.2,3,2019,2019-06-20,93.77224692695782
agosto 2019,Legislativa,41.528377116054585,41.368893858229036,4.325592900341822,25.406649163715013,1.81,15013091.26,5.412883162620177,21.775810978569684,1.97,18428031.08,4,2019,2019-08-20,94.05375965173477
