data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Patinho Bife 500g Bandeja,Patinho,Genérico,19.45,500g,SV
19/03/21,Patinho Pedaco 600g Bandeja,Patinho,Genérico,23.69,600g,SV
19/03/21,Patinho Moído Do Chef 500g Bandeja,Patinho,Do Chef,22.9,500g,SV
19/03/21,Carne Bovina Moída Patinho Bandeja 500g,Carne,Bertin,20.65,500g,SV
