data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Açúcar Refinado Guarani 1kg,Açúcar,Guarani,2.79,1kg,SV
19/03/21,Açúcar Refinado União 1kg,Açúcar,União,2.65,1kg,SV
19/03/21,Açúcar Refinado União 1kg Edição Especial,Açúcar,União,2.69,1kg,SV
19/03/21,Acucar Refin Uniao 5kg,Acucar,União,14.49,5kg,SV
