data,full_text,item,marca,preço,qtd,supermercado
19/03/21,Coxao Duro Pedaco 600g Bandeja,Coxao,Genérico,21.54,600g,SV
19/03/21,Coxao Duro Bife 500g Bandeja,Coxao,Sem Marca,17.95,500g,SV
19/03/21,Coxao Duro Cubo 600g Bandeja,Coxao,Genérico,22.5,600g,SV
19/03/21,Coxao Duro Para Bife Role 500g Bandeja,Coxao,Sem Marca,19.45,500g,SV
