,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
outubro 2017,DESPESAS CORRENTES,1610.782353782519,1635.5474649717116,156.60654799997855,1250.9111306074985,384.63633436421304,250.27514478582054,998.8867460887483,636.6607188829631,984.227666851776,5,2017,2017-10-20,88.89491535821291
dezembro 2017,DESPESAS CORRENTES,1599.2045656738837,1651.04193633748,186.17489660325148,1583.3546094480687,67.68732688941131,307.1016705581155,1542.49655427153,108.54538206595002,1609.4101422304611,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,DESPESAS CORRENTES,1690.1537558553593,1700.6939860114912,754.1248880869764,754.1248880869764,946.5690979245148,214.75961480666754,214.75961480666754,1485.9343712048237,205.08243339423555,1,2018,2018-02-20,90.08718518803816
abril 2018,DESPESAS CORRENTES,1684.9176257166444,1704.473423894867,203.51309485682222,955.3016889580075,749.1717349368597,256.8540724935214,470.94835771832555,1233.5250661765413,564.1389342945587,2,2018,2018-04-20,90.36714440875939
junho 2018,DESPESAS CORRENTES,1657.0329129780841,1680.8269895506405,172.49002061139888,1111.9818487378268,568.8451408128136,271.28257837799293,734.4369291554233,946.3900603952173,724.4023896274091,3,2018,2018-06-20,91.88785159755834
agosto 2018,DESPESAS CORRENTES,1653.0511125991852,1678.1451583397188,155.79454326422194,1265.1043329789873,413.04082536073156,251.9758540024353,984.647953250206,693.4972050895128,972.6223710196215,4,2018,2018-08-20,92.10918721115112
outubro 2018,DESPESAS CORRENTES,1637.7134431560448,1686.0837871711922,160.39426542857467,1413.7604543644495,272.32333280674254,259.6167241357337,1235.1287198165028,450.9550673546892,1221.114113883181,5,2018,2018-10-20,92.97181691723601
dezembro 2018,DESPESAS CORRENTES,1638.6909124245926,1696.0349859565613,185.52005660089824,1600.1243138925354,95.91067206402597,324.81798373176696,1560.6838901246924,135.3510958318689,1527.7682300193942,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,DESPESAS CORRENTES,1726.0499409305337,1727.9946159239598,752.4010160484708,752.4010160484708,975.5935998754888,221.51731155908487,221.51731155908487,1506.4773043648747,197.50286411658195,1,2019,2019-02-20,93.61720061986506
abril 2019,DESPESAS CORRENTES,1703.3398703452253,1729.1913600843025,225.65488565744195,968.1563734375089,761.0349866467935,261.5549868789863,480.15773979056036,1249.033620293742,458.5568743580616,2,2019,2019-04-20,94.86536798275618
junho 2019,DESPESAS CORRENTES,1700.9554159609254,1736.0732510827024,174.80160102070337,1141.6026813957283,594.4705696869739,294.91526518756837,774.4008465629282,961.6724045197742,767.1580874108083,3,2019,2019-06-20,94.99835332762892
agosto 2019,DESPESAS CORRENTES,1695.856104709862,1735.6721562298906,162.27286600558273,1300.4531253067282,435.2190309231624,262.30243498411215,1034.3816975051209,701.2904587247698,1009.159506606804,4,2019,2019-08-20,95.28400620266395
outubro 2019,DESPESAS CORRENTES,1694.837912704594,1731.2644505169105,158.65196118776225,1458.324294438056,272.94015607885444,270.1174487032686,1303.8781034372075,427.3863470797032,1276.781019712211,5,2019,2019-10-20,95.34124908861676
dezembro 2019,DESPESAS CORRENTES,1666.803005597278,1748.6714070806095,224.9777729000286,1659.1794147702817,89.49199231032763,338.4254310141508,1620.7356303850672,127.9357766955423,1597.663250686631,6,2019,2019-12-20,96.94484774587804
fevereiro 2020,DESPESAS CORRENTES,1746.9398629690213,1755.0524855553476,785.74584969084,785.74584969084,969.3066358645076,235.4727749955114,235.4727749955114,1519.5797105598363,210.21036133399747,1,2020,2020-02-20,97.3923412056326
abril 2020,DESPESAS CORRENTES,1751.1287277806446,1790.8782510094088,219.33299758639308,1006.9629322479974,783.9153187614113,265.71141349892963,501.7488121785085,1289.1294388309002,466.91626587322963,2,2020,2020-04-20,97.15936955453364
junho 2020,DESPESAS CORRENTES,1753.212781102151,1802.9830877114107,180.1388740650471,1188.3002130379714,614.6828746734395,279.5560098779717,781.9019633528301,1021.0811243585807,737.7920651521753,3,2020,2020-06-20,97.04387569718891
agosto 2020,DESPESAS CORRENTES,1742.7086521739666,1814.3805872751689,142.89842392255304,1324.0791025961373,490.3014846790316,241.40727082057123,1018.6245780262476,795.7560092489211,992.0582139637413,4,2020,2020-08-20,97.62880501439999
outubro 2020,DESPESAS CORRENTES,1716.6639410755724,1797.3112300776916,146.3280961860559,1450.6188895570579,346.69234052063365,257.52568246392894,1260.9269569165574,536.3842731611342,1238.9150855413177,5,2020,2020-10-20,99.11
fevereiro 2016,PESSOAL E ENCARGOS SOCIAIS,777.2318186705729,776.5072513164807,110.6773564599566,110.67730712362479,665.829944192856,108.3251700366247,108.3251700366247,668.1820812798561,107.63654467879122,1,2016,2016-02-20,83.58951401542743
abril 2016,PESSOAL E ENCARGOS SOCIAIS,769.1689945470027,768.0754596937409,288.00757696549556,393.4088571690665,374.6666025246744,124.13252983012,227.20602465131176,540.8694350424291,226.08847498509473,2,2016,2016-04-20,84.46574219786739
junho 2016,PESSOAL E ENCARGOS SOCIAIS,760.4983832221727,756.1782192056127,-20.24821054162759,368.7258666032291,387.4523526023836,142.60341882437703,367.248218121602,388.93000108401077,362.66857600519313,3,2016,2016-06-20,85.42875492349346
agosto 2016,PESSOAL E ENCARGOS SOCIAIS,753.2149989462481,747.7528440125727,118.39880547291641,483.59334021617605,264.15950379639685,118.81183066727796,482.5428685457367,265.2099754668361,478.52712065084,4,2016,2016-08-20,86.25482775952575
outubro 2016,PESSOAL E ENCARGOS SOCIAIS,750.6556346370286,750.4478650399365,119.90026928055754,601.8503980141462,148.59746702579034,120.31574833533897,601.2189748171867,149.22889022274973,94.51207875001157,5,2016,2016-10-20,86.54891404553938
dezembro 2016,PESSOAL E ENCARGOS SOCIAIS,747.056541131198,777.7327876527951,169.68121769744764,768.6459837932753,9.086803859519861,170.28982287226083,768.6261931927891,9.106594460005924,760.9201942776093,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,PESSOAL E ENCARGOS SOCIAIS,779.8305670525342,798.5012211572998,116.5682717783042,116.5682717783042,681.9329493789955,116.49366782684372,116.49366782684372,682.0075533304562,,1,2017,2017-02-20,87.5866475177533
abril 2017,PESSOAL E ENCARGOS SOCIAIS,776.7919572480141,796.4986605485069,118.58507996278188,234.69914347010192,561.7995170784048,118.58005967737918,234.6198099275356,561.8788506209712,230.4987740977043,2,2017,2017-04-20,87.92926389451829
junho 2017,PESSOAL E ENCARGOS SOCIAIS,776.1649851555605,795.5541278454527,145.93135035020023,380.44106110063314,415.1130667448196,145.86961860019022,380.30005984053906,415.25406800491373,374.74965676474596,3,2017,2017-06-20,88.00029156985306
agosto 2017,PESSOAL E ENCARGOS SOCIAIS,772.8310150317238,792.3704745782412,118.94495642889638,497.7518557780354,294.6186188002058,118.99177793423286,497.6582816857304,294.71219289251076,493.67524245978586,4,2017,2017-08-20,88.37992222296648
outubro 2017,PESSOAL E ENCARGOS SOCIAIS,768.3537885689609,787.7800505552765,118.25587499171598,494.8682399069936,292.91181064828294,118.30242524696203,494.7752079156061,293.00484263967047,490.81524355114846,5,2017,2017-10-20,88.89491535821291
dezembro 2017,PESSOAL E ENCARGOS SOCIAIS,762.8311074099396,789.2608468406315,165.13851453665478,778.1033509630771,11.157495877554496,163.52763259058963,776.2253000132797,13.035546827351887,817.6951916680414,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,PESSOAL E ENCARGOS SOCIAIS,821.0751045845927,821.3934736172151,121.93236398797522,121.93236398797522,699.4611096292399,121.85893386596408,121.85893386596408,699.5345397512511,118.03101162285918,1,2018,2018-02-20,90.08718518803816
abril 2018,PESSOAL E ENCARGOS SOCIAIS,818.5313974890875,818.4017150688155,125.84781822427101,247.4024333099642,570.9992817588513,123.79899459250365,245.28040704417228,573.1213080246432,286.2782307802168,2,2018,2018-04-20,90.36714440875939
junho 2018,PESSOAL E ENCARGOS SOCIAIS,804.985030273202,803.762317716029,144.48636221409694,387.7943842137546,415.9679335022743,144.61470938725375,385.8358238070078,417.9264939090211,381.8314131411502,3,2018,2018-06-20,91.88785159755834
agosto 2018,PESSOAL E ENCARGOS SOCIAIS,803.0506753950065,802.1050519166413,120.9972545567175,507.8597804990379,294.24527141760336,122.74636070864427,507.65503260611854,294.4500193105227,503.5138738297894,4,2018,2018-08-20,92.10918721115112
outubro 2018,PESSOAL E ENCARGOS SOCIAIS,795.5996500084215,802.8537136522498,122.42153570185785,625.5691900135134,177.2845236387364,122.42603728108774,625.3708434326737,177.4828702195762,620.5098050880932,5,2018,2018-10-20,92.97181691723601
dezembro 2018,PESSOAL E ENCARGOS SOCIAIS,796.074503659529,816.7247523496411,172.59443186977907,798.5369928543522,18.18775949528894,172.79289683377567,798.5369928543522,18.18775949528894,783.2255634650863,6,2018,2018-12-20,92.9163597878966
fevereiro 2019,PESSOAL E ENCARGOS SOCIAIS,838.3229735599108,838.3164435633295,122.85219242669315,122.85219242669315,715.4642511366363,119.4433133757607,119.4433133757607,718.8731301875688,115.4065328749794,1,2019,2019-02-20,93.61720061986506
