Data,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo
dezembro 2018,FU07 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Assistência Social,"43.588.600,00","46.026.065,85","803.207,11","38.818.310,40","2,46","7.207.755,45","6.656.604,73","38.083.770,34","2,51","7.942.295,51","734.540,06",06,2018,2018-12-20
dezembro 2018,Assistência ao Idoso,"3.325.000,00","3.524.100,34",,"3.234.850,74","0,20","289.249,60","539.701,57","3.234.850,74","0,21","289.249,60","0,00",06,2018,2018-12-20
dezembro 2018,Assistência ao Portador de Deficiência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00","0,00",06,2018,2018-12-20
dezembro 2018,Assistência à Criança e ao Adolescente,"12.275.000,00","12.188.195,11","-3.879,25","10.494.511,45","0,66","1.693.683,66","1.467.219,43","10.435.957,55","0,69","1.752.237,56","58.553,90",06,2018,2018-12-20
dezembro 2018,Assistência Comunitária,"18.558.600,00","21.143.770,40","-419.943,96","16.630.615,56","1,05","4.513.154,84","2.962.512,65","16.275.128,27","1,07","4.868.642,13","355.487,29",06,2018,2018-12-20
dezembro 2018,FU08 - Demais Subfunções,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Previdência Social,"108.821.000,00","111.621.000,00","21.635.469,40","109.577.582,81","6,93","2.043.417,19","21.721.169,91","109.577.582,81","7,21","2.043.417,19","0,00",06,2018,2018-12-20
dezembro 2018,Previdência Básica,,,,,,,,,,,,06,2018,2018-12-20
dezembro 2018,Previdência do Regime Estatutário,"108.821.000,00","111.621.000,00","21.635.469,40","109.577.582,81","6,93","2.043.417,19","21.721.169,91","109.577.582,81","7,21","2.043.417,19","0,00",06,2018,2018-12-20
