Data,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo
junho 2018,FU17 - Administração Geral,"87.040.000,00","86.417.000,00","8.598.093,29","58.387.452,46","5,42","28.029.547,54","13.507.749,95","34.276.460,00","4,86","52.140.540,00",,03,2018,2018-06-20
junho 2018,FU17 - Demais Subfunções,"11.479.000,00","12.069.000,00","-649.383,58","5.011.365,32","0,47","7.057.634,68","1.387.139,54","3.752.043,05","0,53","8.316.956,95",,03,2018,2018-06-20
junho 2018,Gestão Ambiental,"128.280.000,00","128.301.777,60","1.806.634,96","107.205.752,17","9,95","21.096.025,43","22.984.585,35","64.617.242,24","9,16","63.684.535,36","0,00",03,2018,2018-06-20
junho 2018,Preservação e Conservação Ambiental,"28.975.000,00","29.198.540,00","229.209,98","25.259.298,54","2,35","3.939.241,46","4.784.529,86","12.881.874,92","1,83","16.316.665,08",,03,2018,2018-06-20
junho 2018,Controle Ambiental,"88.890.000,00","88.835.460,00","197.033,96","76.230.564,17","7,08","12.604.895,83","16.457.956,39","47.025.374,67","6,67","41.810.085,33",,03,2018,2018-06-20
junho 2018,Recuperação de Áreas Degradadas,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Recursos Hídricos,"125.000,00","125.000,00",,,"0,00","125.000,00",,,"0,00","125.000,00",,03,2018,2018-06-20
junho 2018,Meteorologia,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU18 - Administração Geral,"9.630.000,00","9.482.777,60","1.380.391,02","5.715.889,46","0,53","3.766.888,14","1.742.099,10","4.709.992,65","0,67","4.772.784,95",,03,2018,2018-06-20
junho 2018,FU18 - Demais Subfunções,"660.000,00","660.000,00",,,"0,00","660.000,00",,,"0,00","660.000,00",,03,2018,2018-06-20
junho 2018,Ciência e Tecnologia,"600.000,00","600.000,00","0,00","500.000,00","0,05","100.000,00","0,00","500.000,00","0,07","100.000,00","0,00",03,2018,2018-06-20
junho 2018,Desenvolvimento Científico,"600.000,00","600.000,00",,"500.000,00","0,05","100.000,00",,"500.000,00","0,07","100.000,00",,03,2018,2018-06-20
junho 2018,Desenvolvimento Tecnológico e Engenharia,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Difusão do Conhecimento Científico e Tecnológico,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU19 - Administração Geral,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU19 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Agricultura,"9.160.000,00","9.160.000,00","1.823.518,29","5.213.775,53","0,48","3.946.224,47","1.148.441,36","3.348.795,37","0,47","5.811.204,63","0,00",03,2018,2018-06-20
junho 2018,Abastecimento,"1.125.000,00","1.125.000,00","434.979,40","722.054,93","0,07","402.945,07","105.239,77","280.925,30","0,04","844.074,70",,03,2018,2018-06-20
junho 2018,Extensão Rural,"3.820.000,00","3.820.000,00","672.289,26","2.365.658,45","0,22","1.454.341,55","324.226,46","956.668,62","0,14","2.863.331,38",,03,2018,2018-06-20
junho 2018,Irrigação,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Promoção da Produção Agropecuária,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Defesa Agropecuária,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU20 - Administração Geral,"4.215.000,00","4.215.000,00","716.249,63","2.126.062,15","0,20","2.088.937,85","718.975,13","2.111.201,45","0,30","2.103.798,55",,03,2018,2018-06-20
junho 2018,FU20 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Organização Agrária,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",03,2018,2018-06-20
junho 2018,Reforma Agrária,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Colonização,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU21 - Administração Geral,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU21 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Indústria,"400.000,00","400.000,00","0,00","0,00","0,00","400.000,00","0,00","0,00","0,00","400.000,00","0,00",03,2018,2018-06-20
junho 2018,Promoção Industrial,"400.000,00","400.000,00",,,"0,00","400.000,00",,,"0,00","400.000,00",,03,2018,2018-06-20
junho 2018,Produção Industrial,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Mineração,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Propriedade Industrial,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Normalização e Qualidade,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU22 - Administração Geral,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU22 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Comércio e Serviços,"2.650.000,00","2.324.000,00","402.620,00","1.000.801,95","0,09","1.323.198,05","125.583,85","394.067,94","0,06","1.929.932,06","0,00",03,2018,2018-06-20
junho 2018,Promoção Comercial,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Comercialização,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Comércio Exterior,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Serviços Financeiros,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Turismo,"2.650.000,00","2.324.000,00","402.620,00","1.000.801,95","0,09","1.323.198,05","125.583,85","394.067,94","0,06","1.929.932,06",,03,2018,2018-06-20
junho 2018,FU23 - Administração Geral,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU23 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Comunicações,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",03,2018,2018-06-20
junho 2018,Comunicações Postais,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Telecomunicações,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU24 - Administração Geral,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Energia,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",03,2018,2018-06-20
junho 2018,Conservação de Energia,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Energia Elétrica,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Combustíveis Minerais,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Biocombustíveis,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU25 - Administração Geral,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU25 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Transporte,"410.000,00","410.000,00","1.495,50","256.142,89","0,02","153.857,11","43.212,08","104.120,97","0,01","305.879,03","0,00",03,2018,2018-06-20
junho 2018,Transporte Aéreo,"410.000,00","410.000,00","1.495,50","256.142,89","0,02","153.857,11","43.212,08","104.120,97","0,01","305.879,03",,03,2018,2018-06-20
junho 2018,Transporte Rodoviário,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Transporte Ferroviário,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Transporte Hidroviário,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Transportes Especiais,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU26 - Administração Geral,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU26 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Desporto e Lazer,"17.034.000,00","17.341.859,60","2.111.782,49","8.204.584,17","0,76","9.137.275,43","2.015.742,42","4.939.371,10","0,70","12.402.488,50","0,00",03,2018,2018-06-20
junho 2018,Desporto de Rendimento,"6.885.000,00","6.671.500,00","264.401,11","2.256.106,25","0,21","4.415.393,75","321.034,91","700.871,68","0,10","5.970.628,32",,03,2018,2018-06-20
junho 2018,Desporto Comunitário,"650.000,00","669.000,00",,"449.586,00","0,04","219.414,00","84.931,08","85.291,08","0,01","583.708,92",,03,2018,2018-06-20
junho 2018,Lazer,"3.070.000,00","3.557.000,00","693.152,67","2.346.530,81","0,22","1.210.469,19","440.081,55","1.063.545,59","0,15","2.493.454,41",,03,2018,2018-06-20
junho 2018,FU27 - Administração Geral,"6.429.000,00","6.444.359,60","1.154.228,71","3.152.361,11","0,29","3.291.998,49","1.169.694,88","3.089.662,75","0,44","3.354.696,85",,03,2018,2018-06-20
junho 2018,FU27 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Encargos Especiais,"46.065.000,00","46.575.000,00","1.287.681,77","39.243.673,36","3,64","7.331.326,64","7.271.317,06","24.221.489,35","3,43","22.353.510,65","0,00",03,2018,2018-06-20
junho 2018,Refinanciamento da Dívida Interna,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Refinanciamento da Dívida Externa,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Serviço da Dívida Interna,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Serviço da Dívida Externa,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Transferências,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Outros Encargos Especiais,"46.065.000,00","46.575.000,00","1.287.681,77","39.243.673,36","3,64","7.331.326,64","7.271.317,06","24.221.489,35","3,43","22.353.510,65",,03,2018,2018-06-20
junho 2018,Transferências para a Educação Básica,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,FU28 - Demais Subfunções,,,,,"0,00","0,00",,,"0,00","0,00",,03,2018,2018-06-20
junho 2018,Reserva de Contingência,"32.653.370,00","32.653.370,00",,,,"32.653.370,00",,,,"32.653.370,00",,03,2018,2018-06-20
junho 2018,DESPESAS (INTRA-ORÇAMENTÁRIAS) (II),"37.375.200,00","37.171.600,00","5.339.821,36","16.990.333,46","1,58","20.181.266,54","5.560.447,96","16.612.769,54","2,36","20.558.830,46",,03,2018,2018-06-20
junho 2018,TOTAL (III) = (I + II),"1.693.091.100,00","1.729.659.563,01","174.675.848,50","1.076.946.466,40","100,00","652.713.096,61","259.265.256,01","705.155.296,68","100,00","1.024.504.266,33","0,00",03,2018,2018-06-20
abril 2018,Legislativa,"35.564.630,00","35.564.630,00","5.279.991,06","12.830.019,32","1,42","22.734.610,68","4.886.399,00","9.104.018,48","2,04","26.460.611,52","0,00",02,2018,2018-04-20
abril 2018,Ação Legislativa,"35.564.630,00","35.564.630,00","5.279.991,06","12.830.019,32","1,42","22.734.610,68","4.886.399,00","9.104.018,48","2,04","26.460.611,52",,02,2018,2018-04-20
abril 2018,Controle Externo,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU01 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU01 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Judiciária,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",02,2018,2018-04-20
abril 2018,Ação Judiciária,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Defesa do Interesse Público no Processo Judiciário,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU02 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU02 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Essencial à Justiça,"1.400.000,00","1.400.000,00","-134.088,32","1.193.216,55","0,13","206.783,45","231.603,81","407.832,82","0,09","992.167,18","0,00",02,2018,2018-04-20
abril 2018,Defesa da Ordem Jurídica,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Representação Judicial e Extrajudicial,"1.400.000,00","1.400.000,00","-134.088,32","1.193.216,55","0,13","206.783,45","231.603,81","407.832,82","0,09","992.167,18",,02,2018,2018-04-20
abril 2018,FU03 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU03 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Administração,"81.175.500,00","81.544.691,68","12.637.375,47","34.683.876,15","3,84","46.860.815,53","11.514.307,49","22.292.918,81","5,00","59.251.772,87","0,00",02,2018,2018-04-20
abril 2018,Planejamento e Orçamento,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU04 - Administração Geral,"74.894.500,00","75.263.691,68","12.469.378,75","31.548.389,47","3,50","43.715.302,21","10.627.973,15","21.088.758,87","4,73","54.174.932,81",,02,2018,2018-04-20
abril 2018,Administração Financeira,"3.020.000,00","3.020.000,00","133.015,72","1.632.073,10","0,18","1.387.926,90","388.114,75","659.871,32","0,15","2.360.128,68",,02,2018,2018-04-20
abril 2018,Controle Interno,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Normatização e Fiscalização,"700.000,00","700.000,00",,,,"700.000,00",,,,"700.000,00",,02,2018,2018-04-20
abril 2018,Tecnologia da Informação,"750.000,00","750.000,00",,"325.752,58","0,04","424.247,42","233.911,16","246.142,28","0,06","503.857,72",,02,2018,2018-04-20
abril 2018,Ordenamento Territorial,"200.000,00","200.000,00",,"95.792,00","0,01","104.208,00","19.158,40","19.158,40","0,00","180.841,60",,02,2018,2018-04-20
abril 2018,Formação de Recursos Humanos,"200.000,00","200.000,00",,"180.000,00","0,02","20.000,00","23.728,40","46.232,91","0,01","153.767,09",,02,2018,2018-04-20
abril 2018,Administração de Receitas,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Administração de Concessões,"1.000,00","1.000,00",,,,"1.000,00",,,,"1.000,00",,02,2018,2018-04-20
abril 2018,Comunicação Social,"1.410.000,00","1.410.000,00","34.981,00","901.869,00","0,10","508.131,00","221.421,63","232.755,03","0,05","1.177.244,97",,02,2018,2018-04-20
abril 2018,FU04 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Defesa Nacional,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",02,2018,2018-04-20
abril 2018,Defesa Aérea,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Defesa Naval,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Defesa Terrestre,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU05 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU05 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Segurança Pública,"41.944.900,00","41.944.900,00","6.267.770,59","13.623.248,94","1,51","28.321.651,06","6.072.684,14","12.229.924,34","2,74","29.714.975,66","0,00",02,2018,2018-04-20
abril 2018,Policiamento,"40.870.000,00","40.870.000,00","6.237.278,74","12.917.364,12","1,43","27.952.635,88","5.956.065,87","12.037.251,84","2,70","28.832.748,16",,02,2018,2018-04-20
abril 2018,Defesa Civil,"860.000,00","860.000,00",,"589.512,97","0,07","270.487,03","90.250,54","154.715,12","0,03","705.284,88",,02,2018,2018-04-20
abril 2018,Informação e Inteligência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00",,02,2018,2018-04-20
abril 2018,FU06 - Administração Geral,"209.900,00","209.900,00","30.491,85","116.371,85","0,01","93.528,15","26.367,73","37.957,38","0,01","171.942,62",,02,2018,2018-04-20
abril 2018,FU06 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Relações Exteriores,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,"0,00",02,2018,2018-04-20
abril 2018,Relações Diplomáticas,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Cooperação Internacional,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU07 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU07 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Assistência Social,"43.588.600,00","45.838.250,19","1.302.303,93","33.551.259,67","3,72","12.286.990,52","7.912.335,04","13.174.627,10","2,95","32.663.623,09","0,00",02,2018,2018-04-20
abril 2018,Assistência ao Idoso,"3.325.000,00","3.324.100,34",,"3.234.850,74","0,36","89.249,60","421.009,14","1.067.979,28","0,24","2.256.121,06",,02,2018,2018-04-20
abril 2018,Assistência ao Portador de Deficiência,"5.000,00","5.000,00",,,,"5.000,00",,,,"5.000,00",,02,2018,2018-04-20
abril 2018,Assistência à Criança e ao Adolescente,"12.275.000,00","12.128.195,11","14.999,31","10.453.441,44","1,16","1.674.753,67","2.959.339,63","4.579.353,53","1,03","7.548.841,58",,02,2018,2018-04-20
abril 2018,Assistência Comunitária,"18.558.600,00","20.955.954,74","136.394,75","16.718.331,96","1,85","4.237.622,78","3.396.981,29","5.187.813,56","1,16","15.768.141,18",,02,2018,2018-04-20
abril 2018,FU08 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Previdência Social,"108.821.000,00","108.821.000,00","16.568.392,27","32.786.406,33","3,63","76.034.593,67","16.609.471,67","32.578.433,14","7,31","76.242.566,86","0,00",02,2018,2018-04-20
abril 2018,Previdência Básica,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Previdência do Regime Estatutário,"108.821.000,00","108.821.000,00","16.568.392,27","32.786.406,33","3,63","76.034.593,67","16.609.471,67","32.578.433,14","7,31","76.242.566,86",,02,2018,2018-04-20
abril 2018,Previdência Complementar,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Previdência Especial,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU09 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU09 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Saúde,"400.493.000,00","411.105.539,31","40.618.647,36","227.953.548,83","25,26","183.151.990,48","57.840.061,65","116.751.084,20","26,18","294.354.455,11","0,00",02,2018,2018-04-20
abril 2018,Atenção Básica,"66.240.000,00","65.805.995,88","5.017.347,90","41.117.396,62","4,56","24.688.599,26","8.855.887,36","15.471.592,85","3,47","50.334.403,03",,02,2018,2018-04-20
abril 2018,Assistência Hospitalar e Ambulatorial,"93.559.000,00","99.398.311,17","1.136.059,42","89.835.239,99","9,96","9.563.071,18","14.574.286,55","32.300.361,93","7,24","67.097.949,24",,02,2018,2018-04-20
abril 2018,Suporte Profilático e Terapêutico,"4.314.000,00","5.418.044,94",,"36.000,00","0,00","5.382.044,94","36.000,00","36.000,00","0,01","5.382.044,94",,02,2018,2018-04-20
abril 2018,Vigilância Sanitária,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Vigilância Epidemiológica,"2.730.000,00","3.116.438,54","1.561.600,00","2.224.038,51","0,25","892.400,03","177.066,84","276.551,12","0,06","2.839.887,42",,02,2018,2018-04-20
abril 2018,Alimentação e Nutrição,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU10 - Administração Geral,"233.650.000,00","237.366.748,78","32.903.640,04","94.740.873,71","10,50","142.625.875,07","34.196.820,90","68.666.578,30","15,40","168.700.170,48",,02,2018,2018-04-20
abril 2018,FU10 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Trabalho,"9.848.000,00","9.849.800,00","100.371,91","7.334.412,75","0,81","2.515.387,25","1.136.851,37","2.183.240,51","0,49","7.666.559,49","0,00",02,2018,2018-04-20
abril 2018,Proteção e Benefícios ao Trabalhador,"8.150.000,00","8.150.000,00","100.371,91","7.144.712,75","0,79","1.005.287,25","1.106.044,05","2.124.956,57","0,48","6.025.043,43",,02,2018,2018-04-20
abril 2018,Relações de Trabalho,"1.199.000,00","1.457.100,00",,,,"1.457.100,00",,,,"1.457.100,00",,02,2018,2018-04-20
abril 2018,Empregabilidade,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Fomento ao Trabalho,"499.000,00","242.700,00",,"189.700,00","0,02","53.000,00","30.807,32","58.283,94","0,01","184.416,06",,02,2018,2018-04-20
abril 2018,FU11 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU11 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Educação,"380.565.900,00","385.928.628,10","57.112.840,09","176.871.188,69","19,60","209.057.439,41","56.527.098,78","96.144.617,00","21,56","289.784.011,10","0,00",02,2018,2018-04-20
abril 2018,Ensino Fundamental,"116.864.000,00","118.364.000,00","12.738.259,76","55.704.922,09","6,17","62.659.077,91","17.293.411,06","28.897.644,81","6,48","89.466.355,19",,02,2018,2018-04-20
abril 2018,Ensino Médio,"3.150.000,00","3.150.000,00","8.000,00","2.926.960,00","0,32","223.040,00","171.216,87","186.484,07","0,04","2.963.515,93",,02,2018,2018-04-20
abril 2018,Ensino Profissional,"2.325.000,00","2.325.000,00","404.565,12","817.957,86","0,09","1.507.042,14","404.565,12","817.957,86","0,18","1.507.042,14",,02,2018,2018-04-20
abril 2018,Ensino Superior,"16.685.000,00","16.685.000,00","2.056.915,54","4.526.382,61","0,50","12.158.617,39","2.164.878,39","4.483.517,57","1,01","12.201.482,43",,02,2018,2018-04-20
abril 2018,Educação Infantil,"191.344.000,00","191.811.356,72","23.131.449,61","72.770.143,26","8,07","119.041.213,46","27.918.317,14","50.687.051,21","11,37","141.124.305,51",,02,2018,2018-04-20
abril 2018,Educação de Jovens e Adultos,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Educação Especial,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Educação Básica,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU12 - Administração Geral,"17.128.000,00","17.128.000,00","1.915.942,04","7.647.239,68","0,85","9.480.760,32","2.638.830,96","4.859.758,42","1,09","12.268.241,58",,02,2018,2018-04-20
abril 2018,FU12 - Demais Subfunções,"33.069.900,00","36.465.271,38","16.857.708,02","32.477.583,19","3,60","3.987.688,19","5.935.879,24","6.212.203,06","1,39","30.253.068,32",,02,2018,2018-04-20
abril 2018,Cultura,"7.199.000,00","7.405.000,00","1.298.170,77","3.120.182,73","0,35","4.284.817,27","916.840,89","1.272.295,10","0,29","6.132.704,90","0,00",02,2018,2018-04-20
abril 2018,Patrimônio Histórico Artístico e Arqueológico,"750.000,00","750.000,00","1.615,90","24.729,90","0,00","725.270,10","15.869,01","16.743,17","0,00","733.256,83",,02,2018,2018-04-20
abril 2018,Difusão Cultural,"6.449.000,00","6.655.000,00","1.296.554,87","3.095.452,83","0,34","3.559.547,17","900.971,88","1.255.551,93","0,28","5.399.448,07",,02,2018,2018-04-20
abril 2018,FU13 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU13 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Direitos da Cidadania,"550.000,00","550.000,00","3.500,00","97.026,95","0,01","452.973,05","63.953,50","73.643,50","0,02","476.356,50","0,00",02,2018,2018-04-20
abril 2018,Custódia e Reintegração Social,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Direitos Individuais Coletivos e Difusos,"550.000,00","550.000,00","3.500,00","97.026,95","0,01","452.973,05","63.953,50","73.643,50","0,02","476.356,50",,02,2018,2018-04-20
abril 2018,Assistência aos Povos Indígenas,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU14 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU14 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Urbanismo,"90.177.000,00","91.240.315,32","5.169.795,71","39.488.450,29","4,38","51.751.865,03","7.777.434,03","14.174.070,35","3,18","77.066.244,97","0,00",02,2018,2018-04-20
abril 2018,Infra-Estrutura Urbana,"24.400.000,00","24.042.471,10","1.339.558,74","5.390.003,80","0,60","18.652.467,30","327.439,09","386.190,45","0,09","23.656.280,65",,02,2018,2018-04-20
abril 2018,Serviços Urbanos,"43.998.000,00","45.360.415,32","3.411.101,66","27.545.682,06","3,05","17.814.733,26","5.957.180,14","11.305.299,58","2,54","34.055.115,74",,02,2018,2018-04-20
abril 2018,Transportes Coletivos Urbanos,"21.679.000,00","21.679.900,00","261.606,41","6.395.235,53","0,71","15.284.664,47","1.492.814,80","2.482.580,32","0,56","19.197.319,68",,02,2018,2018-04-20
abril 2018,FU15 - Administração Geral,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU15 - Demais Subfunções,"100.000,00","157.528,90","157.528,90","157.528,90","0,02","0,00",,,,"157.528,90",,02,2018,2018-04-20
abril 2018,Habitação,"8.000.000,00","8.000.000,00","1.300.900,55","3.448.843,22","0,38","4.551.156,78","1.430.520,38","2.828.445,65","0,63","5.171.554,35","0,00",02,2018,2018-04-20
abril 2018,Habitação Rural,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,FU16 - Administração Geral,"6.050.000,00","6.050.000,00","923.542,13","2.266.935,47","0,25","3.783.064,53","1.051.214,76","1.823.279,80","0,41","4.226.720,20",,02,2018,2018-04-20
abril 2018,FU16 - Demais Subfunções,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Saneamento,"209.136.000,00","214.688.314,07","11.157.853,79","149.447.428,32","16,56","65.240.885,75","29.290.199,14","47.086.363,24","10,56","167.601.950,83","0,00",02,2018,2018-04-20
abril 2018,Saneamento Básico Rural,,,,,,,,,,,,02,2018,2018-04-20
abril 2018,Saneamento Básico Urbano,"110.617.000,00","116.039.314,07","3.497.023,14","93.997.320,25","10,42","22.041.993,82","15.661.223,00","23.952.749,68","5,37","92.086.564,39",,02,2018,2018-04-20
abril 2018,FU17 - Administração Geral,"87.040.000,00","87.160.000,00","6.779.825,66","49.789.359,17","5,52","37.370.640,83","12.122.810,44","20.768.710,05","4,66","66.391.289,95",,02,2018,2018-04-20
abril 2018,FU17 - Demais Subfunções,"11.479.000,00","11.489.000,00","881.004,99","5.660.748,90","0,63","5.828.251,10","1.506.165,70","2.364.903,51","0,53","9.124.096,49",,02,2018,2018-04-20
abril 2018,Gestão Ambiental,"128.280.000,00","128.301.777,60","13.923.614,80","105.399.117,21","11,68","22.902.660,39","21.214.151,01","41.632.656,89","9,34","86.669.120,71","0,00",02,2018,2018-04-20
abril 2018,Preservação e Conservação Ambiental,"28.975.000,00","29.275.000,00","12.161.113,99","25.030.088,56","2,77","4.244.911,44","4.308.563,72","8.097.345,06","1,82","21.177.654,94",,02,2018,2018-04-20
