,Data,Homens,Mulheres,Total Casos Confirmados,Total Casos Descartados,Total Casos Recuperados,Total Casos Suspeitos,Total Casos em Tratamento,Total Óbitos
104,12/julho/2020,76,86,4.547,5.192,3.161,906,1.263,123
105,13/julho/2020,99,87,4.733,5.482,3.267,952,1.336,130
106,14/julho/2020,61,91,4.885,5.752,3.297,977,1.452,136
107,15/julho/2020,85,112,5.082,5.956,3.431,937,1.509,142
108,16/julho/2020,90,105,5.277,6.154,3.549,906,1.580,148
109,17/julho/2020,73,58,5.408,6.275,3.559,993,1.699,150
110,18/julho/2020,107,110,5.625,6.538,3.663,913,1.807,155
111,19/julho/2020,106,92,5.823,6.709,3.830,853,1.834,159
112,20/julho/2020,76,67,5.966,6.878,4.131,861,1.675,160
113,21/julho/2020,61,75,6.102,7.025,4.579,980,1.359,164
114,22/julho/2020,76,77,6.255,7.265,4.627,933,1.464,164
115,23/julho/2020,85,97,6.437,7.417,4.701,963,1.568,168
116,24/julho/2020,72,89,6.598,7.625,4.886,974,1.540,172
117,25/julho/2020,77,93,6.768,7.717,5.139,869,1.453,176
118,26/julho/2020,79,101,6.948,7.885,5.372,837,1.399,177
119,27/julho/2020,94,99,7.141,8.137,5.534,904,1.428,179
120,28/julho/2020,92,89,7.322,8.357,5.567,1.081,1.569,186
121,29/julho/2020,87,111,7.520,8.596,5.732,1.013,1.597,191
122,30/julho/2020,74,80,7.674,8.633,5.884,1.071,1.593,197
123,31/julho/2020,68,92,7.834,8.838,6.069,1.041,1.564,201
124,01/agosto/2020,85,87,8.006,8.939,6.159,984,1.645,202
125,02/agosto/2020,58,75,8.133,8.958,6.339,871,1.591,203
126,03/agosto/2020,46,71,8.250,9.030,6.583,933,1.459,208
127,04/agosto/2020,74,78,8.402,9.194,6.668,993,1.522,212
128,05/agosto/2020,67,66,8.535,9.357,7.026,1.064,1.294,215
129,06/agosto/2020,78,73,8.686,9.465,7.087,1.101,1.381,218
130,07/agosto/2020,75,75,8.836,9.772,7.343,1.126,1.271,222
131,08/agosto/2020,53,83,8.972,10.023,7.433,1.046,1.312,227
132,09/agosto/2020,59,79,9.110,10.184,7.584,937,1.297,229
133,10/agosto/2020,59,66,9.235,10.469,7.715,907,1.286,234
134,11/agosto/2020,40,60,9.335,10.731,7.826,1.029,1.274,235
135,12/agosto/2020,71,68,9.474,10.916,7.941,1.146,1.294,239
136,13/agosto/2020,59,78,9.611,11.110,7.962,1.038,1.406,243
137,14/agosto/2020,85,96,9.792,11.497,7.998,958,1.550,244
138,15/agosto/2020,53,53,9.898,11.709,8.146,895,1.506,246
139,16/agosto/2020,67,56,10.021,11.827,8.442,873,1.333,246
140,17/agosto/2020,60,62,10.143,12.063,8.593,951,1.300,250
141,18/agosto/2020,54,61,10.258,12.480,8.612,923,1.392,254
142,19/agosto/2020,70,61,10.389,12.700,8.682,980,1.452,255
143,20/agosto/2020,60,58,10.507,12.965,8.773,857,1.476,258
144,21/agosto/2020,56,49,10.612,13.162,8.890,902,1.460,262
145,22/agosto/2020,32,47,10.691,13.224,8.899,882,1.538,264
146,23/agosto/2020,47,52,10.790,13.261,8.909,822,1.617,264
147,24/agosto/2020,40,57,10.887,13.459,9.362,958,1.256,269
148,25/agosto/2020,96,40,11.023,13.720,9.466,965,1.285,272
149,26/agosto/2020,72,76,11.171,13.971,9.490,1.013,1.405,276
150,27/agosto/2020,60,77,11.308,14.390,9.674,977,1.353,281
151,28/agosto/2020,69,61,11.438,14.662,9.825,1.023,1.330,283
152,29/agosto/2020,58,68,11.564,14.956,10.195,1.028,1.084,285
153,30/agosto/2020,61,39,11.664,15.225,10.307,918,1.072,285
154,31/agosto/2020,28,38,11.730,15.466,10.354,927,1.087,289
155,01/setembro/2020,23,35,11.788,15.629,10.356,1.040,1.141,291
156,02/setembro/2020,82,58,11.928,15.969,10.358,843,1.276,294
157,03/setembro/2020,75,63,12.066,16.240,10.609,866,1.162,295
158,04/setembro/2020,97,48,12.211,16.559,10.656,935,1.258,297
159,05/setembro/2020,107,37,12.355,16.947,10.684,931,1.374,297
160,06/setembro/2020,109,40,12.504,17.412,10.936,771,1.271,297
161,07/setembro/2020,80,75,12.659,17.685,11.141,643,1.218,300
162,08/setembro/2020,108,29,12.796,17.931,11.228,802,1.263,305
163,09/setembro/2020,65,76,12.937,18.206,11.255,1.016,1.375,307
164,10/setembro/2020,55,70,13.062,18.609,11.379,1.026,1.373,310
165,11/setembro/2020,68,66,13.196,19.112,11.402,964,1.483,311
166,12/setembro/2020,50,48,13.294,19.2137,11.545,1.024,1.436,313
167,13/setembro/2020,45,42,13.381,19.214,11.607,1.022,1.461,313
168,14/setembro/2020,32,21,13.434,19.437,11.718,1.164,1.399,317
169,15/setembro/2020,31,41,13.506,19.711,12.032,1.165,1.153,321
170,16/setembro/2020,44,63,13.613,20.018,12.163,1.180,1.129,321
171,17/setembro/2020,59,57,13.729,20.398,12.303,1.075,1.103,323
172,18/setembro/2020,56,70,13.855,20.893,12.361,940,1.169,325
173,19/setembro/2020,66,55,13.976,21.352,12.520,660,1.130,326
174,20/setembro/2020,24,19,14.019,21.380,12.637,826,1.056,326
175,21/setembro/2020,40,43,14.102,21.654,12.737,829,1.036,329
176,22/setembro/2020,28,34,14.164,22.244,12.954,690,879,331
177,23/setembro/2020,49,56,14.269,22.600,12.989,674,948,332
178,24/setembro/2020,40,65,14.374,22.881,13.090,712,949,335
