item,preço
Coxao Duro Pedaco 600g Bandeja,"R$ 21,54"
Coxao Duro Bife 500g Bandeja,"R$ 17,95"
Coxao Duro Cubo 600g Bandeja,"R$ 22,50"
Coxao Duro Para Bife Role 500g Bandeja,"R$ 19,45"
