item,preço
Coxão Mole Bovino Peça Resfriado Bandeja 1kg,"R$46,90"
Coxão Mole (Chã de Dentro) em Bife Bandeja 500g,"R$25,17"
Coxão Mole Capa Bovino Resfriado Bandeja 500g,"R$24,50"
Coxão Mole para Strogonoff Resfriado Bandeja 400g,"R$27,20"
