item,preço
Açúcar Refinado União 1kg,"R$ 2,69 un."
Açúcar Refinado Granulado Caravelas Sachê 400X5g,"R$ 10,49 un."
Açúcar Refinado Guarani 1kg,"R$ 2,59 un."
Açúcar Refinado Caravelas 1kg,"R$ 2,49 un."
Açúcar Refinado União 400x5g,"R$ 12,69 un."
Açúcar Refinado Especial Select 1kg,"R$ 2,59 un."
