,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
abril 2020,RECEITA DE SERVIÇOS,280.92401304312904,280.92401304312904,40.973899493713205,14.59,82.56925064233974,29.39,198.3547624007893,2,2020,2020-04-20,97.15936955453364
junho 2020,RECEITA DE SERVIÇOS,281.25834632953183,281.25834632953183,43.16707335629781,15.35,125.834591315212,44.74,155.42375501431988,3,2020,2020-06-20,97.04387569718891
agosto 2020,RECEITA DE SERVIÇOS,279.573226323667,279.573226323667,39.518128573129,14.14,164.59879955131868,58.88,114.97442677234828,4,2020,2020-08-20,97.62880501439999
outubro 2020,RECEITA DE SERVIÇOS,275.3950156391888,275.3950156391888,41.41230910099888,15.04,203.55118617697508,73.91,71.84382946221369,5,2020,2020-10-20,99.11
fevereiro 2016,TRANSFERÊNCIAS CORRENTES,880.2300248619739,880.2300248619739,167.85751825773733,19.07,167.85751825773733,19.07,712.3725066042366,1,2016,2016-02-20,83.58951401542743
abril 2016,TRANSFERÊNCIAS CORRENTES,871.0987210369617,871.0987210369617,143.44745492931827,16.47,309.5636578998791,35.54,561.5350631370826,2,2016,2016-04-20,84.46574219786739
junho 2016,TRANSFERÊNCIAS CORRENTES,861.2790864843281,861.2790864843281,130.28943744958,15.13,436.3634771030511,50.66,424.91560938127714,3,2016,2016-06-20,85.42875492349346
agosto 2016,TRANSFERÊNCIAS CORRENTES,853.0305133195776,853.0305133195776,128.63338950641716,15.08,560.8177612256352,65.74,292.2127520939424,4,2016,2016-08-20,86.25482775952575
outubro 2016,TRANSFERÊNCIAS CORRENTES,850.1319838777587,850.1319838777587,117.4577709623375,13.82,676.3699183007489,79.56,173.76206557700982,5,2016,2016-10-20,86.54891404553938
dezembro 2016,TRANSFERÊNCIAS CORRENTES,846.0559410678584,846.0559410678584,147.6903337260169,17.46,820.8173288164809,97.02,25.23861225137742,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,TRANSFERÊNCIAS CORRENTES,876.275347614409,876.275347614409,175.2550695228818,20.0,157.69184580561148,18.0,718.5835018087976,1,2017,2017-02-20,87.5866475177533
